发布部门,标题,发布时间,通知URL,是否有附件,附件信息,下载次数参数
实践科,关于举办福州大学第十二届大学生软件设计与服务外包创新创业竞赛的通知,发布时间：2023-03-14,https://jwch.fzu.edu.cn//../info/1039/12632.htm,无,无,无
计划科,关于通识选修课《爱课程：美化嗓音 轻松讲课》开课的友情提示,发布时间：2023-03-13,https://jwch.fzu.edu.cn//../info/1038/12631.htm,无,无,无
实践科,关于做好第二十九期本科生科研训练计划项目立项工作的通知,发布时间：2023-03-10,https://jwch.fzu.edu.cn//../info/1039/12622.htm,有,第29期SRTP附件.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11990101),"wbfileid=11990101,owner=1744984858"
教学运行,关于2022-2023学年第二学期重新学习选课、缴费的通知,发布时间：2023-03-07,https://jwch.fzu.edu.cn//../info/1036/12619.htm,无,无,无
实践科,关于上报2023年各学院新时代劳动教育实施计划的通知,发布时间：2023-03-03,https://jwch.fzu.edu.cn//../info/1039/12614.htm,有,福大教21-13福州大学关于印发《福州大学关于新时代劳动教育的实施方案（暂行）》的通知.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11988731),"wbfileid=11988731,owner=1744984858"
实践科,关于福州大学参加2023年第九届全国大学生统计建模大赛的通知,发布时间：2023-03-03,https://jwch.fzu.edu.cn//../info/1039/12613.htm,无,无,无
实践科,关于组织参加2023年美国大学生数学建模春季MCM/ICM赛的通知,发布时间：2023-03-01,https://jwch.fzu.edu.cn//../info/1039/12601.htm,有,2023年美国大学生数学建模春季MCMICM赛介绍及参赛流程.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11988018),"wbfileid=11988018,owner=1744984858"
计划科,关于公布2022-2023学年第二学期通选课取消开课名单的通知,发布时间：2023-02-27,https://jwch.fzu.edu.cn//../info/1038/12592.htm,无,无,无
综合科,关于2022-2023学年第二学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,发布时间：2023-02-21,https://jwch.fzu.edu.cn//../info/1035/12568.htm,无,无,无
教学运行,关于2023届预计毕业生校对电子注册学历照片的通知,发布时间：2023-02-21,https://jwch.fzu.edu.cn//../info/1036/12567.htm,无,无,无
实践科,关于组织参加第十四届全国周培源大学生力学竞赛的通知,发布时间：2023-02-21,https://jwch.fzu.edu.cn//../info/1039/12566.htm,有,关于组织参加第十四届全国周培源大学生力学竞赛的通知.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930610); 第十四届全国周培源大学生力学竞赛报名表.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930611),"wbfileid=11930610,owner=1744984858; wbfileid=11930611,owner=1744984858"
实践科,关于2023届本科毕业生创新创业实践与素质拓展学分认定工作的通知,发布时间：2023-02-20,https://jwch.fzu.edu.cn//../info/1039/12565.htm,有,学分认定申请表格.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930525),"wbfileid=11930525,owner=1744984858"
教学运行,关于2022-2023第二学期辅修专业补退选、缴费的通知,发布时间：2023-02-20,https://jwch.fzu.edu.cn//../info/1036/12564.htm,无,无,无
实践科,关于对2022年学院教学有关数据进行统计的通知,发布时间：2023-02-19,https://jwch.fzu.edu.cn//../info/1039/12563.htm,有,2022年学院教学有关数据统计表格下载.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930381),"wbfileid=11930381,owner=1744984858"
质量办,关于开学第一周集中听课的通知,发布时间：2023-02-19,https://jwch.fzu.edu.cn//../info/1040/12562.htm,有,附件1：福州大学课堂教学质量评估表（理论课）.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930357); 附件3：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930359); 附件2：2022-2023学年第二学期第一周课表.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930358),"wbfileid=11930357,owner=1744984858; wbfileid=11930359,owner=1744984858; wbfileid=11930358,owner=1744984858"
教学运行,关于2022-2023第二学期学期选课补退选的通知,发布时间：2023-02-19,https://jwch.fzu.edu.cn//../info/1036/12561.htm,无,无,无
计划科,关于报名参加2022-2023学年第二学期国情教育网络培训的通知,发布时间：2023-02-18,https://jwch.fzu.edu.cn//../info/1038/12555.htm,无,无,无
计划科,关于2022-2023学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,发布时间：2023-02-17,https://jwch.fzu.edu.cn//../info/1038/12553.htm,有,2022-2023学年第二学期国情课列表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930286),"wbfileid=11930286,owner=1744984858"
计划科,关于2022-2023学年第二学期通识教育选修课选课的通知,发布时间：2023-02-17,https://jwch.fzu.edu.cn//../info/1038/12552.htm,有,爱课程学生注册与选课指南.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930249),"wbfileid=11930249,owner=1744984858"
实践科,关于常态化本科生实习教学工作的通知,发布时间：2023-02-14,https://jwch.fzu.edu.cn//../info/1039/12551.htm,无,无,无
教学运行,2023年春季学期开学教学工作安排,发布时间：2023-02-03,https://jwch.fzu.edu.cn//../info/1036/12542.htm,无,无,无
教学运行,关于2023年春季学期《大学物理实验》绪论课程教室安排的通知,发布时间：2023-01-11,https://jwch.fzu.edu.cn//../info/1036/12532.htm,有,2023大物实验绪论（挂教务处） - 新.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11930095),"wbfileid=11930095,owner=1744984858"
综合科,教务处关于2023年寒假用印安排的通知,发布时间：2023-01-09,https://jwch.fzu.edu.cn//../info/1035/12531.htm,有,教务处2023年寒假用印安排.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11925515),"wbfileid=11925515,owner=1744984858"
计划科,关于核对2022-2023学年第二学期通识教育选修课开课信息的有关通知,发布时间：2023-01-04,https://jwch.fzu.edu.cn//../info/1038/12522.htm,无,无,无
教学运行,关于2022-2023学年第二学期辅修专业选课的通知,发布时间：2023-01-04,https://jwch.fzu.edu.cn//../info/1036/12521.htm,无,无,无
教学运行,关于2022-2023学年第一学期《高等数学A（上）、B（上）、C（上）、D》课程期末线上考试安排的通知,发布时间：2023-01-02,https://jwch.fzu.edu.cn//../info/1036/12511.htm,有,2201高数A（上）、B（上）、C（上）、D 期末考试 2023.1.8.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11925297),"wbfileid=11925297,owner=1744984858"
教学运行,关于2022-2023学年第一学期《概率论与数理统计》课程期末线上考试安排的通知,发布时间：2022-12-29,https://jwch.fzu.edu.cn//../info/1036/12501.htm,有,2201概率期末考试2023.1.5下午排考版.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11841253),"wbfileid=11841253,owner=1744984858"
实践科,关于举办第十三届全国大学生电子商务“三创赛”福州大学校赛的通知,发布时间：2022-12-27,https://jwch.fzu.edu.cn//../info/1039/12496.htm,有,附件下载.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11840885),"wbfileid=11840885,owner=1744984858"
实践科,关于做好2023届本科生毕业设计（论文）工作的通知,发布时间：2022-12-27,https://jwch.fzu.edu.cn//../info/1039/12495.htm,有,附件：2023届福州大学本科生毕业设计（论文）有关表格.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11840884),"wbfileid=11840884,owner=1744984858"
教学运行,关于2022-2023学年第一学期《线性代数》、《线性代数与解析几何》课程期末线上考试安排的通知,发布时间：2022-12-26,https://jwch.fzu.edu.cn//../info/1036/12492.htm,有,2201线代、线代解几12.31下午 (附会议号).xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11840827),"wbfileid=11840827,owner=1744984858"
教学运行,关于元旦期间教学安排的通知,发布时间：2022-12-26,https://jwch.fzu.edu.cn//../info/1036/12491.htm,无,无,无
教材中心,关于开展2023年本科教材审核工作的通知,发布时间：2022-12-26,https://jwch.fzu.edu.cn//../info/1042/13541.htm,有,附件1：福州大学教材管理实施细则（试行）.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619311); 附件3：单位审核意见书（参考模板）.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619312); 附件2：福州大学本科教材审核表.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619313),"wbfileid=14619311,owner=1744984858; wbfileid=14619312,owner=1744984858; wbfileid=14619313,owner=1744984858"
实践科,关于组织参加2023年美国大学生数学建模竞赛的通知,发布时间：2022-12-19,https://jwch.fzu.edu.cn//../info/1039/12481.htm,有,附录：2023年美国大学生数学建模竞赛介绍及参赛流程.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11835861),"wbfileid=11835861,owner=1744984858"
教学运行,关于2022-2023学年第二学期本科生学期选课的通知,发布时间：2022-12-16,https://jwch.fzu.edu.cn//../info/1036/12476.htm,无,无,无
综合科,关于召开2022-2023学年秋季学期期末本科教育教学工作会议的通知,发布时间：2022-12-15,https://jwch.fzu.edu.cn//../info/1035/12475.htm,无,无,无
综合科,关于评选2022年优秀教学管理人员的通知,发布时间：2022-12-15,https://jwch.fzu.edu.cn//../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=12474,有,福州大学2022年优秀教学管理人员申报表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11830327); 福大政21-47福州大学关于印发优秀教学管理人员评选办法的通知.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11830328),"wbfileid=11830327,owner=1744984858; wbfileid=11830328,owner=1744984858"
教学运行,2022年秋季学期期末教学工作安排,发布时间：2022-12-14,https://jwch.fzu.edu.cn//../info/1036/12472.htm,无,无,无
教学运行,关于2022-2023学年第一学期《工程制图A（上）、C（上）、D、F》课程期末考试安排的通知,发布时间：2022-12-09,https://jwch.fzu.edu.cn//../info/1036/12463.htm,有,2201制图A、C、D、F期末考试 12.18上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11829500),"wbfileid=11829500,owner=1744984858"
实践科,关于做好2022年省级（含）以上大学生创新创业训练计划项目和第二十八期本科生科研训练计划项目中期检查工作的通知,发布时间：2022-12-08,https://jwch.fzu.edu.cn//../info/1039/12462.htm,有,附件.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11829326),"wbfileid=11829326,owner=1744984858"
教学运行,关于2022级期末相关教学安排的通知,发布时间：2022-12-08,https://jwch.fzu.edu.cn//../info/1036/12461.htm,无,无,无
教学运行,关于2022-2023学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,发布时间：2022-12-06,https://jwch.fzu.edu.cn//../info/1036/12454.htm,有,2201习近平概论期末考安排.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11828618),"wbfileid=11828618,owner=1744984858"
教学运行,关于2022-2023学年第一学期《马克思主义基本原理》课程期末考试安排的通知,发布时间：2022-12-06,https://jwch.fzu.edu.cn//../info/1036/12453.htm,有,2201马克思主义基本原理期末考安排.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11828617),"wbfileid=11828617,owner=1744984858"
实践科,关于公布第六届网络信息安全竞赛获奖名单的通知,发布时间：2022-12-05,https://jwch.fzu.edu.cn//../info/1039/12452.htm,无,无,无
教学运行,关于部分教室改造的调课通知,发布时间：2022-12-02,https://jwch.fzu.edu.cn//../info/1036/12441.htm,有,12.3-12.12改造教室本科课表.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11828329),"wbfileid=11828329,owner=1744984858"
实践科,关于本学期期末课程教学和实习安排的通知,发布时间：2022-12-02,https://jwch.fzu.edu.cn//../info/1039/12435.htm,无,无,无
实践科,关于举办福州大学第九届桥梁设计大赛的通知,发布时间：2022-11-30,https://jwch.fzu.edu.cn//../info/1039/12432.htm,有,附件2：福州大学第九届桥梁设计大赛报名表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11827959); 附件3：福州大学第九届桥梁设计大赛-竞赛细则.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11827960),"wbfileid=11827959,owner=1744984858; wbfileid=11827960,owner=1744984858"
计划科,关于2022-2023学年第二学期修读辅修专业学生名单的公示,发布时间：2022-11-28,https://jwch.fzu.edu.cn//../info/1038/12421.htm,无,无,无
教研教改,福州大学关于收集线上课程资源需求的通知,发布时间：2022-11-24,https://jwch.fzu.edu.cn//../info/1037/12416.htm,无,无,无
教学运行,关于2022-2023学年第一学期《高等数学A（下）》课程期末考试安排的通知,发布时间：2022-11-24,https://jwch.fzu.edu.cn//../info/1036/12415.htm,有,2201高数A（下）期末考试12.11上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11826264),"wbfileid=11826264,owner=1744984858"
教学运行,关于2022-2023学年第一学期计算机语言类课程期末考试安排的通知,发布时间：2022-11-24,https://jwch.fzu.edu.cn//../info/1036/12414.htm,有,2201计算机语言课程期末考试12.4.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11826267),"wbfileid=11826267,owner=1744984858"
教学运行,关于2022-2023学年第一学期《中国近现代史纲要》课程期末考试安排的通知,发布时间：2022-11-23,https://jwch.fzu.edu.cn//../info/1036/12412.htm,有,2201近现代史纲要期末考试.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11826119),"wbfileid=11826119,owner=1744984858"
教学运行,关于加强我校本科生转专业面试、笔试监督工作的通知,发布时间：2022-11-23,https://jwch.fzu.edu.cn//../info/1036/12402.htm,无,无,无
教材中心,关于做好2022-2023学年第二学期教材选用及征订工作的通知,发布时间：2022-11-22,https://jwch.fzu.edu.cn//../info/1042/12401.htm,有,附件1.已出版马克思主义理论研究和建设工程重点教材目录（截至2022年10月，共计113种）.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11826050); 附件2.全国大中专教学用书目录(2023春).xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11826051),"wbfileid=11826050,owner=1744984858; wbfileid=11826051,owner=1744984858"
教学运行,关于2022-2023学年第一学期《工程制图E》、《画法几何》课程期末考试安排的通知,发布时间：2022-11-19,https://jwch.fzu.edu.cn//../info/1036/12397.htm,有,2201制图E、画法几何期末考试11.26.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11825533),"wbfileid=11825533,owner=1744984858"
实践科,关于公布第十六届本科生数学建模竞赛获奖名单的通知,发布时间：2022-11-18,https://jwch.fzu.edu.cn//../info/1039/12396.htm,无,无,无
教学运行,关于2022-2023学年第一学期《概率论与数理统计》课程半期考试安排的通知,发布时间：2022-11-16,https://jwch.fzu.edu.cn//../info/1036/12393.htm,有,2201概率半期考11.27下午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11824716),"wbfileid=11824716,owner=1744984858"
教学运行,关于2022-2023学年第一学期《高等数学A（上）、B（上）、C（上）、D》课程半期考试安排的通知,发布时间：2022-11-16,https://jwch.fzu.edu.cn//../info/1036/12392.htm,有,2201高数半期考11.27上午.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11824718),"wbfileid=11824718,owner=1744984858"
教学运行,关于做好2023届预计毕业生电子注册图像采集工作的通知,发布时间：2022-11-15,https://jwch.fzu.edu.cn//../info/1036/12391.htm,无,无,无
实践科,关于公布第十四届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛获省赛参赛资格名单的通知,发布时间：2022-11-11,https://jwch.fzu.edu.cn//../info/1039/12381.htm,无,无,无
计划科,关于组织申报2022-2023学年第二学期通识教育选修课的通知,发布时间：2022-11-08,https://jwch.fzu.edu.cn//../info/1038/12371.htm,无,无,无
教学运行,关于公布2022-2023学年各学院转专业实施细则的通知,发布时间：2022-11-07,https://jwch.fzu.edu.cn//../info/1036/12362.htm,有,关于计算机与大数据等学院转专业实施细则的补充说明.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11823291); 2022-2023学年各学院转专业实施细则.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11822438),"wbfileid=11823291,owner=1744984858; wbfileid=11822438,owner=1744984858"
教研教改,关于举办虚拟教研室建设之课程知识图谱构建专家辅导会暨福州大学第三十八场“教学有道”研讨活动的通知,发布时间：2022-11-03,https://jwch.fzu.edu.cn//../info/1037/12355.htm,无,无,无
综合科,关于2022-2023学年第一学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,发布时间：2022-11-03,https://jwch.fzu.edu.cn//../info/1035/12354.htm,无,无,无
计划科,关于2022-2023学年第一学期在校学生申请辅修专业的通知,发布时间：2022-11-01,https://jwch.fzu.edu.cn//../info/1038/12351.htm,无,无,无
质量办,关于2022年新上岗教师教学达标培训班教师配备导师的通知,发布时间：2022-10-26,https://jwch.fzu.edu.cn//../info/1040/12341.htm,有,附件：2022年福州大学新上岗教师达标培训班报名汇总表（配导师）20221026.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11770518),"wbfileid=11770518,owner=1744984858"
教学运行,关于做好2022学年本科生转专业工作的通知,发布时间：2022-10-20,https://jwch.fzu.edu.cn//../info/1036/12325.htm,无,无,无
计划科,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第八周）,发布时间：2022-10-12,https://jwch.fzu.edu.cn//../info/1038/12309.htm,无,无,无
实践科,关于举办第十四届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛的通知,发布时间：2022-10-10,https://jwch.fzu.edu.cn//../info/1039/12302.htm,无,无,无
教学运行,关于组织2022级新生开展学籍信息自查工作的通知,发布时间：2022-10-10,https://jwch.fzu.edu.cn//../info/1036/12301.htm,无,无,无
计划科,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第七周）,发布时间：2022-10-06,https://jwch.fzu.edu.cn//../info/1038/12296.htm,无,无,无
实践科,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,发布时间：2022-10-05,https://jwch.fzu.edu.cn//../info/1039/12287.htm,有,附件1：福州大学2020年省级以上大学生创新创业训练计划项目结题成绩汇总表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11414927); 附件2：福州大学2021年国家级、省级大学生创新创业训练计划项目结题汇总表.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11414926),"wbfileid=11414927,owner=1744984858; wbfileid=11414926,owner=1744984858"
实践科,关于公布第二十六、二十七期本科生科研训练计划项目结题成绩的通知,发布时间：2022-10-05,https://jwch.fzu.edu.cn//../info/1039/12286.htm,有,附件1：福州大学第二十六期本科生科研训练计划项目结题成绩汇总表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11414919); 附件2：福州大学第二十七期本科生科研训练计划项目结题成绩汇总表.xls(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11414918),"wbfileid=11414919,owner=1744984858; wbfileid=11414918,owner=1744984858"
质量办,关于举办福州大学第三十七场“教学有道”研讨活动暨2022年教师教学创新大赛培训会的通知,发布时间：2022-10-04,https://jwch.fzu.edu.cn//../info/1040/12283.htm,无,无,无
质量办,福州大学关于2022年各类课程教学资料专项检查具体安排的通知,发布时间：2022-10-04,https://jwch.fzu.edu.cn//../info/1040/12281.htm,无,无,无
教研教改,关于转发福建省新工科教育联盟《关于开展新工科教育专家库建设、优秀教学案例征集、实践平台共建共享工作的通知》的通知,发布时间：2022-09-29,https://jwch.fzu.edu.cn//../info/1037/12263.htm,有,福建省新工科教育联盟关于开展新工科教育专家库建设-优秀教学案例征集-实践平台共建共享工作的通知.rar(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11413860),"wbfileid=11413860,owner=1744984858"
计划科,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第六周）,发布时间：2022-09-29,https://jwch.fzu.edu.cn//../info/1038/12262.htm,无,无,无
教研教改,转发福建省高校课程思政教育联盟《关于开展课程思政专家库建设及优秀教学案例征集工作的通知》的通知,发布时间：2022-09-28,https://jwch.fzu.edu.cn//../info/1037/12261.htm,有,福建省高校课程思政教育联盟关于开展课程思政专家库建设及优秀教学案例征集工作的通知(定稿）.rar(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11413795),"wbfileid=11413795,owner=1744984858"
实践科,关于2022年高校教学基本状态数据库教学相关数据报送的通知,发布时间：2022-09-23,https://jwch.fzu.edu.cn//../info/1039/12246.htm,有,2022年本科教学相关数据报送表格.zip(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11412788),"wbfileid=11412788,owner=1744984858"
实践科,关于报送课程教学资料、本科生毕业设计（论文）、实习、实验与课程设计质量专项检查自查材料的通知,发布时间：2022-09-23,https://jwch.fzu.edu.cn//../info/1039/12245.htm,无,无,无
教学运行,关于2022年国庆节放假课程调整的通知,发布时间：2022-09-23,https://jwch.fzu.edu.cn//../info/1036/12244.htm,无,无,无
计划科,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第五周）,发布时间：2022-09-21,https://jwch.fzu.edu.cn//../info/1038/12243.htm,无,无,无
质量办,关于组织报名参加全国高校教师教学创新大赛备赛实战与案例解析专题培训会的通知,发布时间：2022-09-21,https://jwch.fzu.edu.cn//../info/1040/12242.htm,有,全国高校教师教学创新大赛备赛实战与案例解析专题培训会.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11412579),"wbfileid=11412579,owner=1744984858"
教学运行,关于做好2022-2023学年第二学期排课准备工作的通知,发布时间：2022-09-21,https://jwch.fzu.edu.cn//../info/1036/12241.htm,无,无,无
综合科,关于召开2022-2023学年秋季学期期初本科教学工作会议的通知,发布时间：2022-09-20,https://jwch.fzu.edu.cn//../info/1035/12238.htm,无,无,无
计划科,关于通识选修课《爱课程：美化嗓音 轻松讲课》线下见面课的友情提示,发布时间：2022-09-16,https://jwch.fzu.edu.cn//../info/1038/12223.htm,无,无,无
教学运行,关于做好2022年参军退役复学学生转专业工作的通知,发布时间：2022-09-15,https://jwch.fzu.edu.cn//../info/1036/12222.htm,有,福州大学本科生转专业管理实施办法（暂行）.docx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11411358); 福州大学参军退伍复学后学生转专业审批表.doc(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11411359),"wbfileid=11411358,owner=1744984858; wbfileid=11411359,owner=1744984858"
计划科,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第四周）,发布时间：2022-09-15,https://jwch.fzu.edu.cn//../info/1038/12221.htm,无,无,无
计划科,关于在爱课程平台参加通识选修课学习的重要提示,发布时间：2022-09-14,https://jwch.fzu.edu.cn//../info/1038/12213.htm,无,无,无
教材中心,关于召开教材建设研讨会的通知,发布时间：2022-09-13,https://jwch.fzu.edu.cn//../info/1042/12212.htm,无,无,无
教学运行,关于2022-2023学年第一学期重新学习选课的通知,发布时间：2022-09-13,https://jwch.fzu.edu.cn//../info/1036/12211.htm,无,无,无
教学运行,关于2021级体育理论教室安排表的通知,发布时间：2022-09-08,https://jwch.fzu.edu.cn//../info/1036/12201.htm,无,无,无
计划科,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第三周）,发布时间：2022-09-07,https://jwch.fzu.edu.cn//../info/1038/12200.htm,无,无,无
教学运行,关于2022年中秋节放假课程调整的通知,发布时间：2022-09-06,https://jwch.fzu.edu.cn//../info/1036/12193.htm,无,无,无
计划科,关于公布2022-2023学年第一学期通选课取消开课名单的通知,发布时间：2022-09-05,https://jwch.fzu.edu.cn//../info/1038/12191.htm,无,无,无
实践科,关于做好本科毕业论文（设计）抽检信息平台和专家库建设工作通知,发布时间：2022-09-05,https://jwch.fzu.edu.cn//../info/1039/12181.htm,有,附件1：​《国务院教育督导委员会办公室关于做好本科毕业论文（设计）抽检工作的通知》.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11409576); 附件2：《福建省教育厅关于做好本科毕业论文（设计）抽检工作的通知》.pdf(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11409575); 附件3：《本科论文抽检专家数据汇总表》.xlsx(https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11409577),"wbfileid=11409576,owner=1744984858; wbfileid=11409575,owner=1744984858; wbfileid=11409577,owner=1744984858"
计划科,关于报名参加2022-2023学年第一学期国情教育网络培训的通知,发布时间：2022-09-02,https://jwch.fzu.edu.cn//../info/1038/12174.htm,无,无,无
教学运行,关于2022级体育理论教室安排表的通知,发布时间：2022-09-02,https://jwch.fzu.edu.cn//../info/1036/12172.htm,无,无,无
