科室,标题,发布日期,详情链接,附件名,附件下载次数,附件链接
【教研教改】,福州大学关于开展2022级“嘉锡化学拔尖班”招生工作的通知,2022-08-26,https://jwch.fzu.edu.cn/info/1037/12137.htm,"['附件1：福州大学2022级“嘉锡化学拔尖班”招生简章.doc', '附件3： 申请表.doc', '附件4：福州大学“嘉锡化学拔尖班”实施方案.doc', '附件5：福州大学“嘉锡化学拔尖班”培养方案.doc', '附件2：福州大学2022级“嘉锡化学拔尖班”选拔方案.doc']","['2203', '1625', '1845', '1959', '1989']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407981', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407983', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407984', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407985', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407982']"
【教研教改】,福州大学关于开展2022级“数理综合班” 招生工作的通知,2022-08-26,https://jwch.fzu.edu.cn/info/1037/12136.htm,"['附件1：福州大学2022级“数理综合班”招生简章.doc', '附件3：福州大学2022级“数理综合班”选拔线上（网络远程）面试工作流程.doc', '附件4：承诺书.doc', '附件2：福州大学2022级“数理综合班”选拔方案.doc']","['3094', '1992', '1723', '2329']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407972', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407713', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407714', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407712']"
【教研教改】,福州大学关于开展2022级“数理金融 实验班”招生工作的通知,2022-08-26,https://jwch.fzu.edu.cn/info/1037/12135.htm,"['附件1：福州大学2022级“数理金融实验班”招生简章.doc', '附件4：承诺书.doc', '附件2：福州大学2022级“数理金融实验班”选拔方案.doc', '附件5：线上（网络远程）面试工作流程.doc', '附件3：报名表.doc']","['2395', '1382', '2238', '1581', '1452']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407664', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407667', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407665', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407668', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407666']"
【计划科】,关于2022级学生选修《大学信息技术基础》的通知,2022-08-24,https://jwch.fzu.edu.cn/info/1038/12124.htm,,,
【计划科】,关于2022-2023学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,2022-08-24,https://jwch.fzu.edu.cn/info/1038/12123.htm,"['2022-2023学年第一学期国情课列表.docx', '港澳台侨学生思政课和军事课程退选申请表.docx']","['1774', '1555']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407382', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407383']"
【计划科】,关于2022-2023学年第一学期通识教育选修课选课的通知,2022-08-24,https://jwch.fzu.edu.cn/info/1038/12122.htm,['爱课程学生注册与选课指南.doc'],['2152'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11407426']
【实践科】,关于公布第八届材料创新、设计及应用大赛获奖名单的通知,2022-07-09,https://jwch.fzu.edu.cn/info/1039/12110.htm,,,
【实践科】,关于公布第十九届程序设计竞赛获奖名单的通知,2022-07-09,https://jwch.fzu.edu.cn/info/1039/12109.htm,,,
【实践科】,关于公布第十二届大学生节能减排社会实践与科技竞赛获奖名单的通知,2022-07-09,https://jwch.fzu.edu.cn/info/1039/12108.htm,,,
【实践科】,关于公布第八届大学生用户体验设计大赛获奖名单的通知,2022-07-09,https://jwch.fzu.edu.cn/info/1039/12107.htm,,,
【实践科】,关于公布第二十二届数学竞赛获奖名单的通知,2022-07-09,https://jwch.fzu.edu.cn/info/1039/12106.htm,,,
【实践科】,关于公布第十一届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,2022-07-09,https://jwch.fzu.edu.cn/info/1039/12105.htm,,,
【实践科】,关于公布福州大学2022届本科生优秀毕业设计（论文）名单的通知,2022-07-09,https://jwch.fzu.edu.cn/info/1039/12104.htm,['附件：福州大学2022届优秀本科生毕业设计（论文）名单.doc'],['4531'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11396072']
【综合科】,教务处关于2022年暑假工作安排的通知,2022-07-09,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=12102,,,
【实践科】,关于举办2022年福州大学大学生工程实践与创新能力大赛的通知,2022-07-08,https://jwch.fzu.edu.cn/info/1039/12101.htm,['附件3：2022年福建大学生工程实践与创新能力大赛总决赛命题与运行.pdf'],['3208'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11395949']
【教学运行】,关于做好2022-2023学年第二学期排课准备工作的通知,2022-09-21,https://jwch.fzu.edu.cn/info/1036/12241.htm,,,
【综合科】,关于召开2022-2023学年秋季学期期初本科教学工作会议的通知,2022-09-20,https://jwch.fzu.edu.cn/info/1035/12238.htm,,,
【计划科】,关于通识选修课《爱课程：美化嗓音 轻松讲课》线下见面课的友情提示,2022-09-16,https://jwch.fzu.edu.cn/info/1038/12223.htm,,,
【教学运行】,关于做好2022年参军退役复学学生转专业工作的通知,2022-09-15,https://jwch.fzu.edu.cn/info/1036/12222.htm,"['福州大学本科生转专业管理实施办法（暂行）.docx', '福州大学参军退伍复学后学生转专业审批表.doc']","['1724', '1756']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11411358', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11411359']"
【计划科】,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第四周）,2022-09-15,https://jwch.fzu.edu.cn/info/1038/12221.htm,,,
【计划科】,关于在爱课程平台参加通识选修课学习的重要提示,2022-09-14,https://jwch.fzu.edu.cn/info/1038/12213.htm,,,
【教材中心】,关于召开教材建设研讨会的通知,2022-09-13,https://jwch.fzu.edu.cn/info/1042/12212.htm,,,
【教学运行】,关于2022-2023学年第一学期重新学习选课的通知,2022-09-13,https://jwch.fzu.edu.cn/info/1036/12211.htm,,,
【教学运行】,关于2021级体育理论教室安排表的通知,2022-09-08,https://jwch.fzu.edu.cn/info/1036/12201.htm,,,
【计划科】,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第三周）,2022-09-07,https://jwch.fzu.edu.cn/info/1038/12200.htm,,,
【教学运行】,关于2022年中秋节放假课程调整的通知,2022-09-06,https://jwch.fzu.edu.cn/info/1036/12193.htm,,,
【计划科】,关于公布2022-2023学年第一学期通选课取消开课名单的通知,2022-09-05,https://jwch.fzu.edu.cn/info/1038/12191.htm,,,
【实践科】,关于做好本科毕业论文（设计）抽检信息平台和专家库建设工作通知,2022-09-05,https://jwch.fzu.edu.cn/info/1039/12181.htm,"['附件1：\u200b《国务院教育督导委员会办公室关于做好本科毕业论文（设计）抽检工作的通知》.pdf', '附件2：《福建省教育厅关于做好本科毕业论文（设计）抽检工作的通知》.pdf', '附件3：《本科论文抽检专家数据汇总表》.xlsx']","['1773', '2180', '2759']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11409576', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11409575', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11409577']"
【计划科】,关于报名参加2022-2023学年第一学期国情教育网络培训的通知,2022-09-02,https://jwch.fzu.edu.cn/info/1038/12174.htm,,,
【教学运行】,关于2022级体育理论教室安排表的通知,2022-09-02,https://jwch.fzu.edu.cn/info/1036/12172.htm,,,
【实践科】,关于试点使用“全国大学生实习公共服务平台”的通知,2022-09-02,https://jwch.fzu.edu.cn/info/1039/12169.htm,"['附件2：全国大学生实习公共服务系统相关材料.zip', '附件1：教育部高等教育司关于试点使用“全国大学生实习公共服务平台”的通知.pdf']","['2022', '1797']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11408937', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11408936']"
【质量办】,关于开展福州大学2022年教师教学创新大赛的通知,2022-09-01,https://jwch.fzu.edu.cn/info/1040/12168.htm,['附件.rar'],['1313'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11408711']
【教研教改】,关于公布参加2022级“嘉锡化学拔尖班”选拔面试学生名单的通知,2022-08-31,https://jwch.fzu.edu.cn/info/1037/12167.htm,,,
【教研教改】,关于公布参加2022级“数理综合班”选拔面试学生名单的通知,2022-08-31,https://jwch.fzu.edu.cn/info/1037/12166.htm,,,
【教研教改】,关于公布参加2022级“数理金融实验班”选拔面试学生名单的通知,2022-08-31,https://jwch.fzu.edu.cn/info/1037/12165.htm,,,
【综合科】,关于2022-2023学年第一学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2022-11-03,https://jwch.fzu.edu.cn/info/1035/12354.htm,,,
【计划科】,关于2022-2023学年第一学期在校学生申请辅修专业的通知,2022-11-01,https://jwch.fzu.edu.cn/info/1038/12351.htm,,,
【质量办】,关于2022年新上岗教师教学达标培训班教师配备导师的通知,2022-10-26,https://jwch.fzu.edu.cn/info/1040/12341.htm,['附件：2022年福州大学新上岗教师达标培训班报名汇总表（配导师）20221026.xlsx'],['2021'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11770518']
【教学运行】,关于做好2022学年本科生转专业工作的通知,2022-10-20,https://jwch.fzu.edu.cn/info/1036/12325.htm,,,
【计划科】,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第八周）,2022-10-12,https://jwch.fzu.edu.cn/info/1038/12309.htm,,,
【实践科】,关于举办第十四届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛的通知,2022-10-10,https://jwch.fzu.edu.cn/info/1039/12302.htm,,,
【教学运行】,关于组织2022级新生开展学籍信息自查工作的通知,2022-10-10,https://jwch.fzu.edu.cn/info/1036/12301.htm,,,
【计划科】,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第七周）,2022-10-06,https://jwch.fzu.edu.cn/info/1038/12296.htm,,,
【实践科】,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,2022-10-05,https://jwch.fzu.edu.cn/info/1039/12287.htm,"['附件1：福州大学2020年省级以上大学生创新创业训练计划项目结题成绩汇总表.doc', '附件2：福州大学2021年国家级、省级大学生创新创业训练计划项目结题汇总表.xls']","['2377', '3178']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11414927', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11414926']"
【实践科】,关于公布第二十六、二十七期本科生科研训练计划项目结题成绩的通知,2022-10-05,https://jwch.fzu.edu.cn/info/1039/12286.htm,"['附件1：福州大学第二十六期本科生科研训练计划项目结题成绩汇总表.doc', '附件2：福州大学第二十七期本科生科研训练计划项目结题成绩汇总表.xls']","['2919', '2933']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11414919', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11414918']"
【质量办】,关于举办福州大学第三十七场“教学有道”研讨活动暨2022年教师教学创新大赛培训会的通知,2022-10-04,https://jwch.fzu.edu.cn/info/1040/12283.htm,,,
【质量办】,福州大学关于2022年各类课程教学资料专项检查具体安排的通知,2022-10-04,https://jwch.fzu.edu.cn/info/1040/12281.htm,,,
【教研教改】,关于转发福建省新工科教育联盟《关于开展新工科教育专家库建设、优秀教学案例征集、实践平台共建共享工作的通知》的通知,2022-09-29,https://jwch.fzu.edu.cn/info/1037/12263.htm,['福建省新工科教育联盟关于开展新工科教育专家库建设-优秀教学案例征集-实践平台共建共享工作的通知.rar'],['1382'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11413860']
【计划科】,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第六周）,2022-09-29,https://jwch.fzu.edu.cn/info/1038/12262.htm,,,
【教研教改】,转发福建省高校课程思政教育联盟《关于开展课程思政专家库建设及优秀教学案例征集工作的通知》的通知,2022-09-28,https://jwch.fzu.edu.cn/info/1037/12261.htm,['福建省高校课程思政教育联盟关于开展课程思政专家库建设及优秀教学案例征集工作的通知(定稿）.rar'],['1447'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11413795']
【实践科】,关于2022年高校教学基本状态数据库教学相关数据报送的通知,2022-09-23,https://jwch.fzu.edu.cn/info/1039/12246.htm,['2022年本科教学相关数据报送表格.zip'],['1488'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=11412788']
【实践科】,关于报送课程教学资料、本科生毕业设计（论文）、实习、实验与课程设计质量专项检查自查材料的通知,2022-09-23,https://jwch.fzu.edu.cn/info/1039/12245.htm,,,
【教学运行】,关于2022年国庆节放假课程调整的通知,2022-09-23,https://jwch.fzu.edu.cn/info/1036/12244.htm,,,
【计划科】,关于铜盘校区学生往返旗山校区实验实习教学活动用车安排的通知（2022-2023学年第一学期第五周）,2022-09-21,https://jwch.fzu.edu.cn/info/1038/12243.htm,,,
