programName,difficulty,techTag,Introduce,OutputRequirements
基于MindSpore Transformers实现AI孪生人Second Me,进阶,"[[""datas"",""AI""]]",Second Me 是一个开源AI身份系统，旨在为用户创建完全私有的个性化AI代理。它不仅仅是一个AI助手，而是一个能够代表用户真实自我的数字分身。通过本地训练和部署，Second Me 确保用户的数据完全由自己掌控，避免了传统AI系统中数据被大公司掌控的风险。,"1、利用GiteeAI里的QwQ-32B（或其他MindSpore模型）做数据合成及对齐
2、从MindSpore Transformers里挑选合适的Base模型作为Second Me的模型进行训练
3、提供简单清晰的模型推理UI界面"
ArceOS：基于Rust的组件化Unikernel架构操作系统内核,基础/Basic,"[[""os"",""RTOS""],[""codelang"",""Programming Language""],[""os"",""QEMU""],[""os"",""Linux""]]","随着AI、物联网、AIoT等领域的快速发展，根据某个特定场景，对操作系统进行改造和定制的工作一直是人们关注的热 点。通过分析不同的场景，开发者调整内核的架构设计，选择性的强化或者忽略 某些部分的功能，从而更好地发挥对应场景下的特点。但当前的操作系统内核难以适应这种多样化的需求。组件化Unikernel架构操作系统内核ArceOS由清华大学陈渝老师操作系统实验室团队贾越凯博士等主持开发，它使用Rust语言编写，旨在通过组件化的设计思想，提供一个灵活、可定制的内核，满足不同应用乃至不同场景的需求。项目开源代码可以在Github上（ https://github.com/arceos-org/arceos ）获取。ArceOS作为组件化操作系统，有着灵活的可定制性功能，利用Rust的条件编译机制，完成对ArceOS的不同模块的功能定制，即通过开发者传入的feature信息，将它传递给模块层和元件层的不同模块中，从而实现对整体内核的条件编译，达到Unikernel要求的最简化内核镜像的要求。ArceOS由多层功能组件组成，每层的基本功能如下：1. 元件层（ArceOS crates）：由 ArceOS 开发者开发的、与内核无关的组件库。任意内核都可以尝试接入这些组件，而几乎不需要对组件本身的内容进行修改。绝大多数组件均发布到了crates.io上，可以便捷地为其他开发者复用。2. 模块层（ArceOSmodules）：与ArceOS相关的组件库。它包括了各类内核基本功能组件，如内存管理、调度器、IO设备驱动等，可认为是传统意义上的“内核”,用来管理硬件并为应用提供服务。3. API 层（ArceOS API）：将模块层的功能封装为API的形式，以供应用程序调用。ArceOS为Rust和C语言编写的应用程序分别提供了不同的API，并针对语言的特点做了快速路径优化。4. 内核级用户库层（Kernel-level ArceOSulib）：进一步封装API层提供的功能，提供对Rust标准库、libc 库等已有内核级用户库的兼容，以便内核级应用程序的移植。5. 内核级应用程序层（Kernel-level UserApps）：目前ArceOS提供了对Rust和C这两种语言编写的内核级应用程序源码级别的支持。当前ArceOS由几十个相对独立的内核级Crates组成，并支持基于其的组件化宏内核、Hypervisor、微内核等操作系统的开发，为面向AI、物联网、AIoT等领域的新一代操作系统的开发提出了新的思路和实现方法。为支持同学们高效地学习Rust编程、组件化操作系统内核等知识，掌握基于Rust开发操作系统内核的能力，我们提供了对应的开源操作系统训练营（ https://opencamp.cn/os2edu/camp/2025spring  https://github.com/learningos ），帮助大家学习和提升能力。",1. ArceOS Tutorial Book扩展改进完善2. ArceOS基础实验实例扩展改进完善3. ArceOS 在github/gitlab/gitee/gitlink等上CI/CD支持4. 撰写组成ArceOS的内核功能Crates的分析文档5. 改进完善组成ArceOS的内核功能Crates的功能/性能/安全性6. 移植组成ArceOS的内核功能Crates到x86/arm/riscv/loongarch的开发板上7. 改进ArceOS与组件化宏内核的接口设计与实现8. 改进ArceOS与组件化hypervisor的接口设计与实现
支持RISC-V架构的Casibase AI知识库系统,进阶,"[[""os"",""RISC-V""],[""datas"",""AI""],[""datas"",""Database""]]",Casibase是一套开源的AI云操作系统，适合个人或者组织作为自己的专属内部AI知识库来使用。用户可以在Casibase上创建、编辑、分享和管理知识库。本项目将致力于将Casibase适配到RISC-V架构，优化其在RISC-V下的性能表现，以满足物联网、嵌入式等RISC-V应用场景下的知识库需求。主要目标包括：1. RISC-V架构支持：使Casibase后端服务可以在RISC-V64架构下编译运行。提供RISC-V64的Docker镜像。2. 跨平台前端适配：优化前端，提高在RISC-V等资源受限平台的运行效率，降低内存占用。3. 知识组织与AI功能增强：优化知识库文档的组织结构和分类方式，提高检索效率。改进搜索算法和推荐机制，提升搜索结果的准确性和相关性。集成更多AI模型接口，丰富知识处理和应用场景。4. 用户体验优化：优化、美化Casibase的Web管理界面，提供更友好、直观的用户交互体验。5. 性能优化与测试：在RISC-V开发板或者QEMU模拟器上，对Casibase进行性能测试，找出性能瓶颈并优化。,1. 实现Casibase在RISC-V64架构下的运行，并提供二进制包和Docker镜像2. 优化Casibase前端，提高其在资源受限环境下的性能表现3. 集成更多AI模型接口，丰富知识处理和应用场景4. 优化、美化Casibase的Web管理界面，提供更友好、直观的用户交互体验5. 在RISC-V开发板或QEMU环境下，对Casibase进行性能测试6. 解决Casibase主仓库&相关仓库中的issues（数量至少7个）：https://github.com/casibase/casibase/issues
openGauss向量数据库对接Embedding模型最佳实践,基础,"[[""datas"",""Database""],[""datas"",""AI""]]",使用HuggingFace、Cohere 、BentoML嵌入式模型对文本进行向量化，保存至openGauss，并构建索引、对接大模型完成知识问答RAG端到端验证，输出RAG最佳实践文档。,1. 基于openGauss 容器部署指导文档、分别完成 HuggingFace、Cohere 、BentoML部署指导文档，基于docker完成服务部署。编写应用代码，HuggingFace、Cohere 、BentoML嵌入模型对接openGauss。2. 对接LLMs，完成基于openGauss的知识问答RAG端到端验证，并输出对接文档，对接文档需合入openGauss社区。
Clang 编译 GLIBC 支持,进阶,"[[""os"",""Compiler""]]","目前isocut工具在RISC-V环境下参考官方文档操作，只有部分场景验证可以正常运行，需要对失败场景进行修复，并补充文档清楚描述本项目背景以及要做什么。（1）相关背景isocut工具在RISC-V环境下进行ISO镜像裁减，定制化，生成的ISO需在qemu环境下安装运行（2）已有的工作根据官方文档场景一和场景二都可以正常安装运行（3）存在的不足根据官方文档，但是场景三存在问题，定制后的ISO不能正常安装运行（4）希望改进的点修复场景三的问题，并完善当前的文档（5）最终项目实现的目标isocut工具在RISC-V环境下对ISO镜像进行定制化裁减出的ISO,安装后的系统可以正常运行，并有详细的参考文档主要的问题包括：（1）Clang和GCC对于部分语法的理解有问题（2）Clang不支持部分GCC的builtin函数（3）Clang处理浮点数时，对于一些边缘情况处理错误（4）其他很多情况已有工作:Glibc的主要维护者之一 azanella 已经进行了很多的工作https://sourceware.org/git/?p=glibc.git;a=shortlog;h=refs/heads/azanella/clang","1. 有可能需要修复LLVM，也有可能需要修复Glibc。

最终实现使用LLVM编译GLIBC。
并且可以通过GLIBC所有的单元测试。

1）修复当前的编译失败和测试失败
2）分析 azanella 仓库中对Glibc的修改，分析实际上应该对LLVM进行的修改，相应修复LLVM
3）向LLVM提交修复补丁 （Github PR）
4）向Glibc提交修复补丁（libc-alpha邮件列表）"
P2P 基于感知带宽的节点侧二次调度,基础,"[[""cloudnative"",""Cloud Native""],[""cloudnative"",""Docker""],[""cloudnative"",""Kubernetes""]]",Dragonfly 是一款基于 P2P 的高效、稳定、安全的文件分发和图片加速工具。但是，目前下载 Dragonfly 文件片段的 Parent 选择方法基于 FCFS 方法（即，首先从哪个 Parent 获取某个 Piece 元数据，然后从该 Parent 下载相应的 Piece）。这种选点方式无法动态感知 Parent 节点状态（网络带宽、磁盘 IO）的变化，无法充分利用带宽资源。本课题需要从节点侧感知 Parent 网络带宽、磁盘 IO 等进行二次调度，提升整体带宽利用率。,1. 完整的方案设计。 2. 支持节点侧感知 Parent 网络带宽、磁盘 IO 等进行二次调度。 3. 需要完成 Unit testing、Benchmark、E2E testing。 4. 根据 Benchmark 优化带宽利用率。
LLVM内核地址消毒功能增强：支持riscv32架构的OpenHarmony轻量系统内核,进阶,"[[""os"",""RISC-V""],[""os"",""LLVM""]]",KASAN(Kernel Address Sanitizer) 是动态内存错误检测工具，支持‌内存越界访问‌、使用已释放的内存‌、‌无效的内存释放操作‌的检测。OpenHarmony轻量系统内核支持地址消毒，有效解决踩内存问题，提升项目开发效率。OpenHarmony 轻量系统内核已经支持 KASAN 功能，即 LMS(Lite Memory Sanitizer)，但缺少 LLVM 编译器内存检测插桩功能的支持。希望 LLVM KASAN 支持 riscv32 芯片架构（LLVM已经支持arch64、arm、riscv64等），最终实现 riscv32 架构的 OpenHarmony 轻量系统内核支持地址消毒功能。,1. LLVM KASAN 支持 riscv32 芯片架构。2. clang 编译 riscv32 程序支持 -fsanitize=kernel-address 选项，并完成内存检测函数插桩。3. 在 OpenHarmony 轻量系统内核开启LMS功能下，clang 使用 -fsanitize=kernel-address 选项编译测试程序，测试程序在 OpenHarmony 轻量系统平台运行，检测到内存越界访问等错误时报错并打印输出动态内存错误相关信息。
基于 KEDA 实现 llmaz Serverless 弹性扩展,进阶/Advanced,"[[""cloudnative"",""Kubernetes""],[""datas"",""LLM""],[""dev"",""LLMOps""],[""dev"",""MLOps""]]",（1）相关背景：llmaz 是一个基于大语言模型的推理平台开源项目（架构因其按需分配资源、自动弹性扩展的特性，成为优化成本和性能的理想选择。KEDA（Kubernetes Event-Driven Autoscaling）是一个事件驱动的自动扩展框架，能够与 Kubernetes 集成，支持多种触发器实现弹性扩展。（2）已有的工作：llmaz 当前主要依赖手动配置的 Kubernetes 集群进行资源管理和部署，模型推理服务通过固定分配的 Pod 提供支持。KEDA 已被广泛应用于 Kubernetes 生态，支持基于 CPU、内存或外部事件（如消息队列）的自动扩展，但 llmaz 项目尚未集成 KEDA 或实现 Serverless 能力。（3）存在的不足：当前 llmaz 的部署方式需要预先分配固定资源，无法根据实际负载动态调整，导致资源利用率低或高负载时响应延迟增加。此外，手动管理 Pod 的扩展和缩减增加了运维复杂度，且不支持从零到一的弹性能力，难以实现真正的 Serverless 架构。（4）希望改进的点：通过集成 KEDA，llmaz 可以基于负载事件（如 HTTP 请求量、队列消息数）实现自动扩展和收缩，支持从零实例到多实例的动态调整。同时，优化资源分配逻辑，降低空闲时的资源浪费，提升高负载时的响应性能，简化运维流程。（5）最终项目实现的目标：基于 KEDA 实现 llmaz 的 Serverless 弹性扩展能力，支持事件驱动的自动伸缩，优化资源利用率，提供从零到一的动态实例管理，最终构建一个高效、低成本、易运维的 Serverless 大语言模型推理服务平台。,"1. 为 llmaz 集成 KEDA 实现事件驱动的自动弹性扩展功能。
2. 开发轻量级 KEDA 触发器配置，支持 HTTP 请求和队列负载扩展。
3. 为 llmaz 提供从零到一的 Serverless 实例管理能力。
4. 基于 KEDA 自动化优化 llmaz 资源分配与回收机制。
5. 编写 llmaz Serverless 部署说明文档，输出性能测试报告（从0到1的冷启动时间）。"
实现Nginx配置到Higress配置转换的MCP Server逻辑,基础/Basic,"[[""datas"",""AI""]]",在AI时代，对网关的需求已经远远超越了传统的路由和负载均衡功能，形成了AI网关的形态。AI网关可以为AI应用开发者提供便利，统一不同 LLM 提供商的 API 协议，并提供API编排、安全、稳定性和成本控制等扩展功能。Higress 作为 AI 原生的 API 网关，在 v2.1.0 版本开源了 MCP Server 托管解决方案，基于当前版本的 OPS Mcp Server进行扩展，实现 Ingress Nginx 配置到 Higress 路由配置的自动转换，方便用户快速从 Nginx 迁移至 Higress。Nginx 的配置说明文档：https://nginx.org/en/docs/dirindex.htmlHigress 的文档：https://higress.cn/docs/latest/overview/what-is-higress/,1. 扩展 Higress OPS Mcp Server，实现 Nginx 配置自动转换，方便用户快速从Nginx迁移至Higress
为Cloudpods实现MCP Server,进阶,"[[""dev"",""AIOps""],[""web"",""RESTful API""],[""dev"",""DevOps""],[""os"",""Linux""]]",Cloudpods支持各大公有云同步及创建网络及虚拟机资源，希望可以实现MCP Server支持查询资源信息及创建虚拟机资源，用户可借助Cloudpods MCP Server开箱即用，通过自然语言交互，快速完成复杂运维任务,"1. 实现MCP Server服务2. 支持通过MCP Server实现查询Cloudpods 区域，VPC, 子网，镜像，套餐，存储，虚拟机实例等资源能力
支持通过MCP Server实现虚拟机开关机，重置密码，删除能力3. 可选项4.  产出Cloudpods MCP Server使用样例文档。"
基于框内核架构的Rust教学操作系统,进阶,"[[""os"",""Linux""]]",本项目基于Asterinas提出的框内核架构以及OSTD & OSDK开发套件实现一套新操作系统教学材料，预计总30学时左右，从熟悉的环境--类似普通应用程序的开发开始，以模块化的形式了解操作系统知识。材料配套6次作业与一次大型project。传统教学系统如xv6采用C语言开发，难以体现现代操作系统安全方面的发展；rCore虽使用Rust系统安全语言，但需要初学者在了解启动以及中断等难度较高的代码后，才能接触操作系统的核心，使得入门门槛较高。因此，目前需要一个使用Rust语言，且能上手门槛较低的操作系统教学材料。以下是教学的大纲以及作业安排（迭代中可能会有改动）。需要设计15套教学材料（文档和代码），每套覆盖两个课时；6次作业（包含代码和解析）；以及1次大型的课程项目（包含代码和解析）。,1. 基于Asterinas提出的框内核架构以及OSTD & OSDK开发套件实现一套新操作系统教学材料
为 NebulaGraph 支持 Airbyte,基础/Basic,"[[""datas"",""Database""],[""datas"",""Graph Database""],[""datas"",""MySQL""],[""cloudnative"",""Distributed Storage""]]",Airbyte 是一款领先的数据集成平台，专注于构建和管理 ETL（提取、转换、加载） 或 ELT（提取、加载、转换） 数据管道，帮助用户将来自多种源头（如 API、数据库、文件等）的数据高效迁移到现代数据存储与分析平台，包括 数据仓库、数据湖以及新兴的 数据湖仓等。NebulaGraph 是一款开源的、分布式的、易扩展的原生图数据库，能够承载包含数千亿个点和数万亿条边的超大规模数据集，并且提供毫秒级查询。期望在 NebulaGraph 上增加对 Airbyte 的支持，方便用户可以通过 Airbyte 将各种数据源的数据，导入到 NebulaGraph 中。,1. 增加 Airbyte 的 Writer，支持数据通过 Airbyte 从 Mysql 到 Nebulagraph 的迁移2. 代码能够合入到 Airbyte 仓库，满足相关开发测试规范
基于分布式图计算的自适应Path结构优化,进阶,"[[""datas"",""Graph Database""],[""web"",""GraphQL""]]",在分布式图计算领域，随着图数据规模的快速增长和复杂查询需求的增加（如路径搜索、子图匹配等），如何高效地处理大规模图上的路径匹配问题成为关键挑战。传统的静态Path结构在面对动态图或异构图时往往表现出性能瓶颈，尤其是在分布式环境下，节点间的通信开销和负载不均衡问题进一步加剧了计算成本。因此，设计一种能够根据图特征和查询模式动态调整的自适应Path结构，对于提升分布式图计算系统的性能至关重要。本课题旨在探索并实现一种针对分布式图计算优化的自适应Path结构，通过结合图分割策略、查询模式分析以及动态路径剪枝技术，显著降低路径匹配过程中的计算与通信开销，同时支持高效的分布式执行。3.  构建一个结合实际应用场景的分布式路径匹配演示系统，展示自适应Path结构在性能上的提升效果。本课题聚焦于分布式图计算领域中的路径匹配优化问题，通过设计和实现自适应Path结构，解决传统静态路径结构在性能和扩展性上的不足。项目不仅具有理论研究价值，还能够为实际应用提供高效的解决方案，是分布式图计算领域的前沿研究方向之一。,1.  技术设计文档（包含架构图、算法流程说明、API设计等内容）。2.  自适应Path结构实现源代码（核心模块代码，需包含详细的注释和单元测试）。3.  分布式路径匹配算法实现（至少实现一种优化后的分布式路径匹配算法）。4.  性能Benchmark测试报告（对比传统静态Path结构与自适应Path结构在不同场景下的性能表现，如计算时间、通信开销、内存使用等）。5.  分布式路径匹配Demo（展示自适应Path结构在实际应用中的优势，例如社交网络分析、推荐系统中的路径查询等）。
Apache Shenyu AI Proxy Plugin 能力增强,进阶,"[[""web"",""Spring Boot""],[""datas"",""AI""]]","Apache ShenYu 是一个高性能、开源的API Gateway，其核心优势之一在于其灵活的插件系统。通过开发新的插件，可以方便地扩展Gateway的功能。Apache ShenYu AI Plugin，是 Apache Shenyu 对 AI 模型接口进行代理的插件，此插件使得 ShenYu 能够轻松地与各种公有云AI服务（如OpenAI, DeepSeek等）或私有化部署的AI模型集成。目前插件的内容比较简单直接，没有集成主流的 Spring AI 框架的能力，在与AI交互调用的过程中还可以再做增强，可以补充如下内容：",1. 支持配置AI调用降级， 若高级别模型调用受限，则降级为调用未受限的低级别模型2. 支持记录会话历史， 支持记录会话历史，存储到本地内存或其他中间件（如redis）3. 支持配置代理apiKey，并支持设置apiKey调用限额，在真实apiKey的基础上，支持生成代理key，并支持为每个代理key设置调用限额4. 支持AI模型调用缓存， 支持AI模型调用缓存，根据请求内容的语义缓存AI模型返回的内容，相同的请求直接从缓存返回，减少AI tokens消耗
Implement the MCP for Pulsar Admin Tool,Advanced,"[[""datas"",""AI""],[""datas"",""Kafka""],[""datas"",""Zookeeper""]]","Apache Pulsar is a distributed messaging and streaming platform thatprovides a highly flexible pub-sub model. The pulsar-admin tool isused for managing and monitoring Pulsar clusters. On the other hand,the Model Context Protocol (MCP) is designed to enable seamlessinteraction between software components and large language models.This project aims to integrate pulsar-admin with MCP, allowing usersto interact with Pulsar clusters using natural language commands. Thisintegration will revolutionize cluster management, making it moreaccessible and user-friendly. The project involves implementing theMCP interface for pulsar-admin to interpret and execute everydaylanguage commands.",1. Develop a working MCP implementation for pulsar-admin2. Provide comprehensive documentation for integration and usage3. Provide example use cases or demos demonstrating natural language interactions with pulsar-admin.
Spring Cloud 2024 版本、2025 版本及第三方组件适配升级,基础,"[[""web"",""Spring Cloud""]]",1. 项目背景在 2025 年初，Spring Cloud 官方社区发布了 2024 正式版本、2025 RC 版本，最新版本带来了大量组件更新、能力升级等，包括底层 Spring Boot 也升级到了 3.x 最新版本 Spring Cloud Alibaba 社区当前最新版本是 2023.0.1.0，对应到 Spring Cloud 2023 版本。除了底层 Spring Cloud 抽象之外，Nacos、RocketMQ 等生态组件近期也发布了部分版本升级。2. 学生职责&目标在这个项目中，学生需要同社区开发者一起合作，发布 Spring Cloud Alibaba 2024 版本、2025 RC 版本。要完成的核心工作包括调研并分享 Spring Cloud、Nacos 等的最新版本情况，完成 Spring Cloud Alibaba 适配并完成测试，编写新版本文档。3. 学生要求&技术栈,1. 在这个项目中，学生需要同社区开发者一起合作，发布 Spring Cloud Alibaba 2024 版本、2025 RC 版本。要完成的核心工作包括调研并分享 Spring Cloud、Nacos 等的最新版本情况，完成 Spring Cloud Alibaba 适配并完成测试，编写新版本文档。
bsub -a支持指定具体esub application,基础,"[[""cloudnative"",""Distributed Storage""],[""os"",""CentOS""],[""os"",""GCC""],[""os"",""GDB""],[""os"",""GNU""],[""os"",""Linux""],[""os"",""Ubuntu""],[""safe"",""TCP/IP""],[""codelang"",""Programming Language""]]",是EDA领域非常常用的功能，通常用于通过验证或预解析命令行，来实施特定作业提交策略和命令行语法规则。目前volclava支持了esub，但是不支持bsub -a指定某个或者某几个esub。以下是项目背景esub简介：“esub” 是一个用户自定义编写的可执行文件，对于volclava来说，它不关心用户在esub中实现的逻辑，只是负责提交作业时运行它。以下是一些常使用 “esub” 来完成的事情：1. 验证作业选项。2. 更改由用户指定的作业选项。3. 在提交主机上更改用户环境变量（仅在作业提交时）。4. 拒绝作业（仅在作业提交时）。5. 自动设定作业资源需求。当用户使用 “bsub” 提交作业、使用 “bmod” 修改作业或者brestart重启作业时，在作业被接受之前，volclava会在提交主机上运行 “esub” 可执行文件，以完成相关作业预制操作，例如用户提交作业时使用了诸如 “-R”（用于指定所需资源）或 “-q”（用于指定队列）等选项，“esub” 可以更改这些选项的值，以符合集群资源使用策略。volclava需要为用户的esub可执行文件提供以环境变量形式的如下接口：LSB_SUB_PARM_FILE 文件会包含如下内容：下面是使用这些volclava提供的接口，用于判断和修改作业选项的esub例子：：现在bsub -a 只是为了把格外信息通过环境变量LSB_SUB_ADDITIONAL传给esub脚本。现在我们要利用-a option，指定一个或多个特定于应用程序的esub可执行文件给作业。例如：-a 的值必须与实际的 esub文件的应用程序名称相对应。例如，要使用 bsub -a fluent 命令，esub.fluent 文件必须存在于 volclava_SERVERDIR 目录中。例如，要提交一个调用特定应用程序的 esub可执行文件的作业，这些可执行文件名为 esub.license以及 esub.fluent：如果在 LSF_SERVERDIR 目录中存在名为 esub（文件名中不包含 .应用程序名称）的可执行文件，volclava会首先调用它。接着，会调用lsf.conf 文件中使用 LSB_ESUB_METHOD 参数定义的任何必需的 esub之后，再调用由 -a 参数指定的任何特定于应用程序的 esub 可执行文件（文件名中包含 .应用程序名称）。,"1. lsf.conf添加新参数LSB_ESUB_METHOD，用于指定默认esub list
2. bsub -a/bmod -a/brestart -a指定某个或者某几个esub；
3. 如果多处配置esub，则需按着LSF_SERVERDIR/esub->LSB_ESUB_METHOD->command -a app_list 依次执行。"
基于pprof和skywalking-go进行性能监控,进阶/Advanced,"[[""dev"",""DevOps""],[""os"",""x86""],[""cloudnative"",""Kubernetes""],[""web"",""UI""],[""web"",""UX""]]","在目前skywalking-go的基础上, 利用pprof相关API可以对CPU, 内存, Block, Mutex等内容进行性能监控, 并将结果进行分析在UI中生成火焰图。此功能为分析目标应用（go应用，非skywalking本身）性能。此功能为新功能，需要和导师沟通功能范围，和提交设计和实现方案。","1. 完成SkyWalking go中的性能分析, 可以在UI中展示, 并且完成E2E自动化验证"
面向ARM CCA的Spectre漏洞硬件辅助模糊测试方法,进阶/Advanced,"[[""os"",""ARM""],[""os"",""LLVM""]]",（1）相关背景随着ARM机密计算架构（CCA）的普及，Trust OS的隔离环境成为新型Spectre变种（如Spectre-BHB）的攻击目标。传统模糊测试方法在ARM CCA场景下面临以下挑战：跨域检测盲区：Normal世界与Realm世界隔离机制阻碍了硬件事件的全局监控。低效随机变异：常规syscall序列生成难以触发依赖特定硬件微架构状态的条件竞争。动态窗口捕获难：推测执行漏洞的时间窗口极短（纳秒级），传统工具无法精准捕捉。（2）已有的工作OpenEuler CCA已实现Realm管理扩展（RME）与安全监控框架。Syzkaller社区支持ARM64架构的syscall模糊测试，但缺乏硬件反馈机制。Exorcist项目（Intel平台）通过PEBS事件检测Spectre漏洞，验证了硬件辅助检测的可行性。（3）存在的不足硬件反馈缺失：现有测试工具无法利用ARM PMU事件实时优化syscall变异策略。攻击流碎片化：Spectre变种的PoC依赖人工编写，难以覆盖跨安全域（如Realm→Normal）的复杂场景。误报率高：随机生成的syscall序列中，仅不足5%能有效触发推测执行异常。（4）希望改进的点硬件特征驱动的syscall生成：通过ARM PMU监控BR_MIS_PRED_RETIRED（分支预测错误）与L2D_CACHE_REFILL（缓存未命中）事件，动态调整syscall变异权重。设计“训练-触发-泄露”三阶段攻击模板，将Spectre变种抽象为可参数化的syscall序列模式。跨域协同检测：在Realm世界部署轻量级PMU监控代理，通过SMC调用将硬件事件传递至Normal世界的测试框架。利用ARM FEAT_TRBE（Trace Buffer Extension）实现低开销（<5%）的持续追踪。混合式验证引擎：结合Syzkaller的覆盖引导与符号执行（KLEE），生成边界值测试用例（如超大内存偏移、非法权限组合）。（5）最终项目实现的目标构建ARM CCA场景下的Spectre漏洞检测框架，误报率≤15%，检出效率提升4倍。开发兼容OpenEuler CCA的exorcist-arm组件，支持10+种Spectre变种（含V1/V2/BHB/RSB）。提交自动化测试套件与《ARM CCA推测执行漏洞防御指南》。,"1. 核心代码：
ARM PMU事件反馈引擎（Go实现，集成至OpenEuler CCA监控模块）。
Spectre攻击流模板库（含参数化syscall序列生成器）。
Syzkaller扩展插件syzkaller-hwfeed，支持硬件事件驱动的变异策略。2. 测试验证：
跨安全域（Realm/Normal）PoC测试套件，覆盖5种以上Spectre变种。
性能对比报告（与传统方法在误报率、检出速度等维度的量化对比）。3. 文档输出：
《ARM PMU事件与Spectre漏洞映射表》技术文档。
漏洞检测框架集成指南（提交至OpenEuler CSA仓库Wiki）。"
RustSBI原型系统引导生态完善,进阶,"[[""os"",""RISC-V""],[""os"",""Linux""]]",RustSBI原型系统是使用Rust语言编写的RISC-V架构引导程序和运行环境，能够以机器态的特权级支持常见的操作系统运行。目前RustSBI已经支持与U-Boot引导程序配合启动Linux内核及及常见发行版。RustSBI原型系统引导生态完善项目包括两个方面，可任选一项或同时完成：EDK II引导程序适配：EDK II是常用的UEFI开源实现，它对RISC-V有初步的支持。本项目要求将RustSBI原型系统与EDK II适配，使得RustSBI原型系统能够配合 EDK II在Qemu或真实硬件上启动Linux或RT-Thread等操作系统。Buildroot构建工具适配：Buildroot是一个开源的嵌入式 Linux 系统构建工具，它通过自动化生成交叉编译工具链、内核镜像、根文件系统（rootfs）以及其他必要组件，帮助开发者快速构建轻量级、定制化的嵌入式 Linux系统。本项目要求完善RustSBI原型系统的Buildroot构建支持，结合已有平台的构建工具链，构建一款标准可用的RustSBI原型系统Buildroot构建工具链。已有平台包括不限于:a.算能SG2002芯片b.全志D1芯片c.博流BL808芯片若RustSBI原型系统不完善，为RustSBI原型系统提交的合并请求也计入本项目的贡献中。,1. 完善RustSBI原型系统的EDK II引导程序适配，能在Qemu或真实硬件上启动Linux或RT-Thread等操作系统。2. 构建标准可用的RustSBI原型系统Buildroot构建工具链。
零知识证明/后量子密码算法的研究与实现,进阶/Advanced,"[[""safe"",""AES""],[""safe"",""PKI""],[""safe"",""RSA""]]",*注：从项目1、项目2中选一个方向完成即可零知识证明技术在区块链扩容、可验证计算等领域发挥了重要作用，但存在计算开销大、通用性不足等挑战。本选题聚焦零知识证明协议的高效算法实现以及工程优化，为Web3.0、元宇宙等新兴场景提供核心隐私基础设施。具体来说，本选题内容聚焦以下两方面1、调研 GKR 或其他常用 SNARK 协议，输出调研报告并在隐语中实现2、探索 zkSNARKs 在 LLM 等场景的应用随着量子计算技术的快速发展，向后量子密码体系迁移的任务变得刻不容缓。然而，现有的后量子密码算法存在计算效率低，密钥与签名体积大等问题，难以满足网络通信、区块链、物联网等场景的需求。本课题内容聚焦以下两方面1、调研现有后量子签名算法，分析不同算法的特点与应用场景2、选取典型算法（如Falcon）构建可验证实现原型，并给出算法层或工程层的加速方案,1. 项目1 零知识证明（注：从项目1、项目2中选一个方向完成即可）2. 项目2 后量子密码（注：从项目1、项目2中选一个方向完成即可）
Mooncake PD分离设计和性能优化,基础/Basic,"[[""datas"",""AI""],[""datas"",""GPU""],[""datas"",""GPT""],[""datas"",""PyTorch""]]",实现推理框架（vLLM/SGLang/Ollama）对于Mooncake PD分离框架的支持：1. 设计实现Mooncake Store在vLLM侧的接口。2. 参与社区关于PD Disaggregation的讨论，设计出Mooncake Store集成方案。3. 实现vLLM侧的Mooncake * Store Connector。4. 对RDMA和GPU传输性能进行优化,1. Mooncake 支持一到两种推理框架，SGLang/vLLM/LMDeploy中之一2. 合并若干能够提升性能的PR
在 FIT 中通过 hibernate-validation 来实现 Jakarta Validation,基础,"[[""web"",""Spring Boot""],[""codelang"",""Programming Language""]]",当前 FIT 的扩展中，已经存在了一个支持 javax.validation 的实现，但是随着 JDK 的升级，javax 标准也升级到了 jakarta，因此原本 javax 的校验实现需要升级。而 Jakarta 中的校验实现以 hibernate 最为出名，可以直接集成它的实现，来作为 FIT 中最新的校验实现。但是需要注意的是，在 FIT 中，所有三方依赖，尽可能都是以插件的形式出现的，这样，依赖不会污染用户的插件，也因此，需要将原先的校验扩展改为校验插件，将依赖进行屏蔽。,"1. 一个由 Java 语言实现的 FIT 插件
2. 使用该插件后，在业务的 Java 插件中，可以使用 Jakarta 标准的校验进行参数校验"
优化 nydus 运行时 chunk meta 的加载方式,基础,"[[""datas"",""AI""],[""cloudnative"",""Kubernetes""],[""os"",""FUSE""]]",镜像是容器基础设施中的一个重要部分，目前 OCI 标准镜像的缺陷之一是容器需要等待整个镜像数据下载完成后才能启动，这导致了容器启动时消耗了过多的端到端时间。开源容器镜像加速项目 Nydus 能够使得容器做到秒级冷启动，在镜像构建，分发与运行时，以及性能与安全性上有诸多探索，目前 Nydus 服务了每日百万级的容器创建，也在 AI 模型镜像分发上有着诸多落地场景。本题目是优化 nydus 运行时 chunk meta 的加载方式。,1. nydus 在 EROFS 文件系统基础上对 chunk 分块懒加载支持做了格式扩展，称为 chunk meta，这部分目前是 nydus 运行时按需下载的，我们需要实现为 containerd 下载，以便复用它的重试，压缩下载的能力。并编写单元测试，集成测试，以及用户文档。
