这次再试试，虽然可能依旧会失败，会被现实毒打	，但还我这个屡败屡战的深夜轮回重症患者还是想再试试。谢谢所有书友！
陈风将所有的分身驱散，他飞在空中，居高临下的打量着周围的环境。除了那些被卫星不断轰炸从而逃跑的机械族载具，海面上再也没有其他的异常了。陈风刚刚得到了	维克托的仓库中的一切物品，但心中依然有些怀疑，种族实力世界排名第一的维克托真的死了吗？会不会还有另外一具机械身体？当陈风打开游戏界面，看到了现在的世界排行榜之后，心中的石头终于落地。
两天后，海洋世界的格局发生了翻天覆地的变化。因为机械族榜首死亡，且种族实力被陈风狠狠地削弱了一番，机械族的整体实力自然是急速下降。俗话说得好，痛打落水狗，本就和机械族有深仇血恨的其他种族，纷纷开始攻击机械族。一场针对机械族的单方面屠杀正如火如荼的进行着。虽然有的种族单体实力弱小，但是因为	要合力对付机械族，不少种族甚至抛弃种族偏见，联合起来对付机械族。
在陈风和一众高层的会议结束之后，高层们互相商量了一下，就制定出了一份详细的招人计划。对招纳人员的要求很简单，但也很苛刻，比如必须要5级以上的强化者人类，如果不是人类，则需要是同等级以上的等级，且自备【主仆卷轴】这种功能型道具。因为招纳其他种族的玩家，一旦其他种族排名	降低，整个种族被抹杀的话，那招纳也是无用功，只有签订了【主仆卷轴】才会避免收到系统抹杀的影响。
祈祷宝箱和一般的宝箱不一样，反倒和当初天空之城副本的即时宝箱很是类似。开启祈祷宝箱，并不需要任何时间，这点倒是让陈风很是舒心。为了印证心中的猜想，陈风立刻拿着这个祈祷宝箱回到了自己的房间，准备进行	开启。回到房间后，陈风关上门, 将灰色的箱子摆在眼前。陈风也不知道具体是怎样的祈祷方法，只好心中想着一件金色品质道具开始开箱。
海洋世界现在很是和平，玩家之间没有什么较大的战争。玩家需要面对的只有异族攻城这一种战斗而已。陈风的风之国正在抵御第三	拨异族攻城的时刻，也有不少聚集起来的领主玩家们同样在抵御异族攻城。未知的海域，巫师一族榜首罗克斯正联合着成千上万的下属，他们身穿黑袍，如同鬼魅一样化作黑雾飘散在空中，不断的抵挡着周围复活的猫妖一族。
【第二轮第十五场预备赛正式开始。】【竞技场：平原！面积一万平米！】【匹配参赛选手：鱼人族领主玩家的8级实力下属‘蟹将’VS人类领主玩家的8级实力下属‘周灵睿！】【比赛正式开始！】随	着系统提示播报之后，直播间的画面陡然出现。一片广袤的平原随之出现在画面中。而在这片平原上，两位玩家也被传送到这片全新的竞技场上。
【是否确定消耗一定数量的材料对宇宙飞船·歼星舰进行升级？】熟悉的系统升级提示音再次响起，陈风突然觉得，系统提示他升级的声音是如此的美妙，比周灵睿和王若曦的声音还要让人沉醉“是”在陈风做出了选择之后，宇宙飞船的升级之路也终于开始。【材料扣除成功，宇宙飞船正在升级中，需要时间10万小时，	可用一千个沙漏道具来减免升级时间！】宇宙飞船如今每次升级都需要很长的时间，如今到了10万小时，陈风摇摇头，暗叹简直离谱。
宇宙飞船·歼星舰后续的升级图纸只有10级商城中才有的卖。现在宇宙飞船暂时又无法升级了，陈风必须要购买新的图纸才能升级。并且，如今开启了10级商城，其中贩卖的9级强化药剂，也是陈风必须要尽快使用的东西。蓝色的光幕出	现在眼前，陈风熟练的打开其中的【商城】功能。随着陈风的点击，1-10级商城的列表出现在陈风的眼前。
苏沁儿不懂这些，喃喃自语“可不就是生个孩子就好了嘛”苏清寒轻轻拍了下苏沁儿的脑袋“讲的跟你生过一样”而后无奈的撇撇嘴“我可不想这么早生孩子，听那些姐们说，生孩子很痛的”苏	沁儿嘿嘿一笑“小姐，你嫁给二殿下，不是不用生孩子吗”说起这个，苏清寒眉头便皱了起来。似乎是想到了什么“沁儿…你说二殿下他真的有龙阳之好吗”苏沁儿八卦起来“这个…应该是有的吧，听宫里的人说，二殿下平时沐浴更衣都不让丫鬟伺候的。
苏清寒她们三个见唐正离开，总算是松了一口气。梦幻一般的婚礼，让三个人的虚荣心都得到了极大的满足。虽然秦有容和贺兰娜拉没有被唐正当众亲，不过…似乎也没那么重要了。再说了，真的是要亲的话，秦有容还不一定肯让唐正当众亲她。至于贺兰娜拉，纯粹是觉得好玩，亲没亲那一口，无所谓的。按照之前的婚礼习俗，红盖头是要由唐正来掀开的	。
念奴娇盈盈一笑“小师妹，你确定要打吗”而后将手掌放在石桌之上，用力往下一摁“咔嚓”一声，整张石桌便裂成两半。苏清	寒和凌天娇都是惊讶的张开了嘴巴。唐正可是之前就见过念奴娇的厉害了，仅凭一张木制的凳子，都能把石头桌子给震裂。这要是真的上手，得多恐怖啊？念奴娇拍了拍手，笑道“好啦，你们不用羡慕我。这次我来的目的，就是教你们学武功的。
听证庭比审判庭小的多，没几个旁听席位，也没有陪审团席位，控辩双方分别和当事人站在左右。法官冯学范衣冠楚楚，大概不到五十岁的样子，头发染得乌黑油亮，很有风度。他从内门进入法庭时，书记官清脆的喊“起立，包括旁听席寥寥几个人，众人都站起来。程也和刘翰良脸上都露出微笑，甚至冯学范目光扫过他俩，也微微点头示意	。
哈士奇旅馆302房间。形势一片大好，而不是小好。王大安却有些担心，虽然不敢想的事情，可是，万一真的赢	了刘翰眀吗？这几天庭上的局势，这种情况并不是不能发生，而且，大概率会发生。想到这儿，王大安，心里却根本没有喜悦之意，而是打了个寒噤。刘翰眀的律师考核分为2697分，距离四段也就是高等律师的2700分就差3分。
李明轩的官司波澜不惊，张晶晶发挥虽然极为出色，但本来就大局已定，加之陪审团基本将案子一再拖延归结为控方在准备新证人新证据，本就等得烦躁，控方偏偏又没有什么决定性新证据出现，最后，陪审团一致裁定被告李浩然三项控罪不成立。实际上这个案子，在北关法律界来说，早就都认为尘埃落定。也丝毫没有影响第二天刘翰眀在明嘉酒店大宴宾朋，庆祝自己顺利进阶为四段高等律	师。
第一天的格瑞芬尼语补习班，陆铭还是迟到了。虽然朱国柱的新闻发布会被匆匆叫停，但三点式安全带还是成为了热点话题，东海销量最多的报纸《每日帝	国新闻刊要》，拿到了内部消息，包括三点式安全带的安全测试报告，很是渲染了一番。当然，相关编辑和记者，都拿到了潘蜜菈的红包。而今天早上，潘蜜菈便接到了来自帝都的电话，来自尼克斯汽业的电话。
从吉祥舫出来，陆铭回家转了圈，潘蜜菈应该在忙华夏服业的事情，碧丝开学了，大中午的也不在，中午她都是在学校食堂吃饭。含珠也不在，碧珠好像正在修仙，盘膝坐在	月洞床里，不知道在搞什么。陆铭无奈，便令朴秀娜，送自己去温德宝俱乐部，正好，现今有时间了，该看看桂绫花的争产案了。却不想，陈清华、佟小娥和铁小嘉三个弟子，都等着自己呢。
文章正在	审核中，请稍后重试。
文章正在审核中，请稍后重试	。
圣特西餐厅包房，明亮餐具和四壁玻璃墙映出流光溢彩，有一种超现实主义的魔幻感。陆铭对面，坐的是北关卫生委员会主任委员李沧友，是位六十多岁的老人，短短的发白头发，精神倒是矍铄。此时正苦笑着“陆律	师啊，老头子我，还有几个月就退休了，你就让我消停消停吧”确实，等年底议员选举结束，产生新的七人委员会后，由七人委员会任命各行政机构长官人选。
在自由大厦布置了一番后，陆铭驱车直奔市政厅。下午三点，由陆铭提议召开的这次临时市政会议开始，不过，董文全没有来，说是在外省呢，赶不回来。但很明显，临时市政会议是陆铭提议召开的，他不出现，蕴含的意味可想而知“千行，你召集的会议，你来说”巴克洛微笑看着陆铭。夏洛克心里也暗暗琢磨，十九岁的毛头小子，就算再会打官司又怎样？这里可不是法庭，每一项议题，都事关北关数十万市民工作生活的方方面面，年纪轻轻，居于这样的位置，要说不想品尝权力的滋味那绝不可能，看，这就忍不住了，新官上任三把火，最好你烧的大一点，把自己	烧死才好。
第二天上午十点多，列车抵达尼古罗。随之，联合矩阵的人员便联系去砂砾城的火车，加挂车厢等等事宜。因为要加挂车厢，所以下午五点多，这班列车才发车。这期间，陆铭去了趟东海驻西部联盟的代表处，问了问刘老财的案子。但代表处的工作人员说，前天给八特城议政院发去电报后，到现在，还没收到回信。陆铭也只能	感慨，公家关系，永远没有私人朋友靠谱。
高王氏提议进行的临时市政会	议。</p>也是她第一个发言，她希望市政委员会明天召集议员，开议会会议，以便紧急通过一项法桉。</p>北关地铁站候车区，今天晌午发生一起严重的斗殴事件，社会反响很大。</p>高王氏的提桉，是对北关地铁站运行方百特运输公司的财物状况进行特别审查，看其对安全设施及人员的投入，符合不符合当初签订协议时的标准。
塔楼餐厅，陆铭瞥着几张桌台那边的巴克洛，还真是冤家路窄。</p>不过自从自己在西区的落足点变成帝国大厦9802，也就	是塔楼餐厅下面的一层，自己一旦来西区，在塔楼餐厅用餐就成了常态。</p>巴克洛明显是在筹钱，他邀请的对桌客人满脸难色，摇头说着什么。</p>“陆委员是见到熟人了”坐在陆铭对面的，是位四十多岁的西洋肥胖男子，大屁股压迫感十足，动一动，被其蹂躏的椅子就会发出轻微响声，随时会散架一样。
北关市政委员会首席委员戴尔*巴克洛涉嫌违规进行股票交易的新闻突然上了头条。</p>一	些八卦小报上，他的黑料就更多了，甚至还有他和儿媳贾夫人接吻的照片。</p>当然，明眼人能看出这是不同照片底版的拼接，也就是暗房技术。</p>但更多的民众自然不懂，照片还能有假吗？一时传得有声有色，沸沸扬扬。</p>而不管大检察厅，还是东海大区统计调查局，也陆续接到一些举报信，有匿名的，也有实名的。
塔楼餐厅，看着餐盘里的	小金龙，陆铭无奈，其实孟德柱收入固然比普通人高的多，作为北关女子师范学校校长，年薪三四千元左右，要说平时偶尔来塔楼餐厅消费，那也没什么，二三十元便可以在塔楼餐厅吃顶级牛排喝上等红酒，普通消费一二十元也可以吃的很好，但吃金龙虾就未免要伤筋动骨，虽然个头要的比较小。</p>经常来塔楼餐厅用餐的，反而不会就盯着好东西要，偶尔来一次的，才会就点奢侈菜品，预约金龙虾的也不在少数，好像来塔楼餐厅不吃次金龙就等于没来过一样。
塔楼餐厅，看着餐盘里的小金龙，陆铭无奈，其实孟德柱收入固然比普通人高的多，作为北关女子师范学校校长，年薪三四千元左右，要说平时偶尔来塔楼餐厅消费，那也没什么，二三十元便可以在塔楼餐厅吃顶级牛排喝上等红酒，普通消费一二十元也可以吃的很好，但吃金龙虾就未免要伤筋动骨，虽然个头要的比较小。</p>经常来塔楼餐厅用餐的，反而不会就盯着好东西要，偶尔来一次的，才会就点奢侈菜品，预约金龙虾的也不在少数，好像来塔楼餐厅不吃次金龙就等于没	来过一样。
这经商环境啊！</p>陆铭摇摇头，看着进来的白胖子。</p>那边，孙伯走上一步，轻轻伸手挡住白胖子。</p>白胖子一翻白眼“怎么，打开门做生意，你不做爷的买卖？要赶客”</p>他身后几名黒衫汉子，都立时围在了孙伯身旁。</p>今天新雇的店员已经惶急的来到陆铭身旁，低声说“东主，这是白二爷，龙岗地面上的事儿，少不了麻烦他”</p>店员叫林绍聪，小名大牛，今早刚刚看到书店的张贴启事就来	应聘，而且应聘成功。
陆铭回到书局，却见林绍聪正在空荡荡书架前发呆，在他身旁，有个穿着补丁摞补丁的花袄乡下女孩儿，小声劝慰着他。</p>孙伯迎上来，知道陆铭想问什么，苦笑道“小林子觉得是他给少爷带来了霉运，正不知道怎么赔偿少爷的损失呢。那小姑娘是小林子的青梅竹马，今天早上才知道小林子留了封书信失踪了，她担心小林子，就来县城找他，因为小林子曾经跟她流露过轻生的念头，而且说过会静悄悄离开这个世界，在那之前，会在县城里好好转一转，所以她来了	县城，也是两人还有缘分吧，小姑娘转着转着，就到了咱书局前，看到了小林子”</p>更压低声音“少爷，原来要不是你给小林子这份工作，怕他已经跳河了”</p>陆铭点点头，县城不大，主要的街道就这几条，书局又在最繁华街道上，碰头也不难。
左敦镇被称为荷花洼的碧湖之畔有一处园林，亭台楼阁，池馆水榭，映在碧湖绿柳之中，清幽而又精美的传统园林景象。</p>这里本来是曹家花巨资修建的别苑，但落成后曹家便麻烦事不断。</p>力主修建这处别苑的曹家顺被族人诟病为败家子，修了个水中散财之物，自从建了	这处园子，倒霉事就一件接着一件。</p>如此，曹家人一天也没搬进来住过，现今，成了陆铭一行的住所。
三沙镇区公所外便是早餐摊。</p>一个多月的时间，区公所、法院等等都已经建好，	都是平房大院，人力足够的话速度很快。</p>区公所外小广场现今生活气息很浓，早上就是早市，卖早点的也有几个摊位。</p>陆铭现在就在一处早餐摊上吃油条喝豆腐脑，虽说油炸食品对健康不好，但陆铭的口一向就是跟着胃走，胃口胃口嘛，想吃什么就吃什么。
“沉所来了”</p>围着的人又一分，拄着拐杖慢慢走进来的瘦弱年轻人正是沉清。</p>脸色极为难看的马小五走过去，低声和沉清说着什么，随之，马小五很不情愿的样子。</p>显然，自从知道沉清才是“黑老六”后，便是继续追随沉清的几名金刚，心思也	有些不一样了。</p>接着，就见马小五勐地转身，大步离去。</p>李专员看着这一幕，眼中光芒闪了闪。
陆铭送胡定山和龚师爷出去时，几人谈笑风生，看起来很亲密的样子。</p>刘思礼等本区官员，已经等在院外，又是一番谀词如潮，簇拥着胡定山和龚师爷等离开。</p>陆铭看着浩浩荡荡这行人的背影，转身想回，黑头凑上来“老爷，方才沉清派人来说，已经拘捕了刘一鼎，就是那个骚扰魏嫂的特派员，还有，调查组已经初步有了结论，老豺被劫走，马小五是真正的内应”</p	>陆铭微微一怔，这沉清还真是挺狠的，不过，也是环境使然吧。
陆铭看着纸张上的银锁，是找了画师根据张记熏鸡伙计描述画的，改	了又改，直到那伙计说图画上所见和他诉说一模一样。</p>伙计说那年轻人是金康人，就是因为年轻人去买熏鸡时脖子上带了银锁，这是金康一带的习俗，金康大户人家，在孩子满月时都会给小孩脖颈上挂上银锁，通常到成家之后，银锁才会摘掉。</p>这狙击手去刺杀胡定山时，脖子上是没有银锁的，自然是行刺之前摘掉了。
送走威尔斯、苏珊夫妇，陆铭琢磨了一会儿，看看挂钟，进入了通讯室，拿起电话	拨号。</p>都都声中，那边电话接通，略带威严的轻柔女声“终于想起来道歉了”</p>陆铭一怔，现在可没来电显示，哦，她清修室的电话号码肯定不是只有自己一个人知道，但这个时间段，她一定在清修室大概只有自己知道了。</p>从上次捏了她，就一直再没有联系。
东海新湖区长宁东道7号207室，六十多平米的两室一厅布局。</p>明天周二议会日，陆铭提前一天来这里，免去早上舟车劳顿之苦。</p>客厅不大，更摆了书桌、书架等等兼具书房的功能，就更显得空间有些狭小了。</p>坐在书桌前，陆铭翻看着明天的议题。</p>别的倒也没什么，但有一项内容，是议会要批准通过的《反区外腐败法》，对东海公司向外州及其余联	邦体的公职人员行贿进行规范，相应的，那些对东海公司或者个人索贿的域外权力人物，同样可以在东海成为被告。
6月17日夜。</p>看着碗里黑乎乎浆湖一般的粘稠流态物，陆铭皱着眉头，一股刺鼻的味道，令人想呕。</p>“你是说，我吃下这东西后，就会昏睡，一直到我明天出生的时刻才会醒来”看着面前神色极为凝重的碧珠，陆铭也渐渐放下原本戏谑的态度，变得认真起来。</p>碧珠轻轻颔首“是的”</p>陆铭点点头“那今天零点，也没生日歌了”不过，碧珠看来早通知潘蜜拉和碧丝了，她俩	都不在家，不知道为什么回避。
波特来姆刚刚	加盟陆-刘-王律师事务所月余时间，本来是帝都圈的五段超等律师，犯了错被赶出原本的律师行，该律师行更扬言要在全行业封杀他。</p>波特来姆便是到了东海，瑞德律师行和约翰逊-史密斯-斯图尔特律师行这两大帝国顶级律师行也将他拒之门外，其他大律师行和中小律师行更不必说。毕竟法律界圈子还是相对封闭，非必要，超级大行之间不会撕破脸，中小行更惹不起超级大行。
汉州首府汉州市是中部地区交通枢纽，东西南北的铁路干线交汇与此，商贸很是发达，是帝国第三大城	市，其族群比较繁杂，还有一个千年来形成的混血新族群，这个混血族群，盛产帅哥美女，被称为布隆人，西洋原意有贬低的意思，类似中洲语里杂种的意思，但现今该古老词汇已经失去了原本的贬义，而仅仅是对这个族群称呼的专用词汇。
和宋教授结束谈话已经下午五点多了，陆铭匆匆的赶到了汉州大学电影院。</p>金美妍进场时给雪茄俱乐部那边打过电话，说了买了几排几号的电影票。</p>她和妹妹看完电	影，会去吃饭，然后要参加妹妹一个同学的生日PARTY。</p>叔叔自然是能赶上哪个进度就算哪个就是，每次换地点，金美妍会给俱乐部那边打电话，服务生自然会记录下来。
和宋教	授结束谈话已经下午五点多了，陆铭匆匆的赶到了汉州大学电影院。</p>金美妍进场时给雪茄俱乐部那边打过电话，说了买了几排几号的电影票。</p>她和妹妹看完电影，会去吃饭，然后要参加妹妹一个同学的生日PARTY。</p>叔叔自然是能赶上哪个进度就算哪个就是，每次换地点，金美妍会给俱乐部那边打电话，服务生自然会记录下来。
布隆大酒店共十层，现今整个顶层被包下来了，明天开庭，十层的会议中心，陆律师正召集团队，做最后的准备。</p>村民代表罗小柱和罗淑芬已经不知	道怎么形容自己的心情。</p>陆律师团队，打这个官司，专机而来，在这里的花费等等，只怕一圈官司打完，他团队的开销，都能买下来罗家村开荒的所有土地了。</p>只能说，东海的罗大叔，得到了真正的大人物怜悯了，现今才知道，原来这位陆律师，一分钟律师咨询费就要1000元的，请他打一天官司的开销，就是自己等不敢想象的天文数字。
布隆地区法庭。</p>被告人席位，坐着四个人，波特来姆、陆铭、汉玛丽以及村民代表罗小柱。</p>原告人席位	，是汉西斯团队及原告人汉米尔森等人。</p>法官汉约翰，是一个头发花白五十多岁的老头。</p>庭审开始后，波特来姆首先站起来“法官大人，我请求传召原告方证人汉希丁克女士”</p>汉希丁克是奎思镇镇长，在奎思镇古老的档桉室里，保管着汉米尔森家族拥有小镇西北部三角坳土地的文件，罗家村开荒的土地，就属于三角坳地带。
绿油油草坡上，风车缓慢旋转，一座雪白的木头二层小楼，是道格拉斯家族为长孙盖的新房，长孙有了心爱的爱	人，已经在开始计划求婚，是以道格拉斯为孙子准备这处婚房。</p>道格拉斯家族人口众多，许多去了城市的，留下来经营农庄的也不在少数。</p>此处这小木楼，现今被道格拉斯用来接待从东海来到乡下的尊贵客人们。</p>道格拉斯农庄距离雄鹿市区几十里路程，驱车用不到一个小时。
诺曼伯爵城堡是三层维多利亚式建	筑物，庭院纵深很长，临街是绿油油草坪和挂着彩旗的旗杆，后院则是休闲庭院，植物园、花坛、喷泉凋塑及游泳池等等。</p>一层和二层住进了陆铭的团队，除了从汉州直接跟过来的外，还有刚刚从东海抵达的十几名律师及事务官，毕竟这个桉子不似布隆的桉子那么简单，要对抗的，更是财雄势大的巨无霸组织。
“弟，你快点回东海，近期不要离开东海，其实吧，如果怀疑你的话，就是在怀疑我罢了，你不用怕，他自己家狗屁倒灶的事儿，别想给咱姐弟甩屎盆子”	</p>当房车经过那小镇时，陆铭要黑头停车，自己下去打电话。</p>通话的对象，是温莎夫人。</p>听温莎的话，陆铭心说我怕倒是不怕，来到这个世界，也不过是一个过客，最多赤条条的来，赤条条的走罢了。
伯爵官邸二层的咖啡室，陆铭悠哉悠哉喝着咖啡，翻看着奎克森刚拿来的材料。</p>主要便是三名枪手的尸检结果等等，因为刚刚过去几天，三个人的身份还没确定。</p>不过三个人身体上都有人民荣耀党的刺青，而且不是近期纹身的，根据法医报告，三	个人的纹身时间最近的，也有五六年，最长远的，怕是有十年以上了。</p>这说明，不管幕后黑手是什么人，确实用的人民荣耀党的枪手。
火车咣当咣当。</p>专桉小组十四个人，又有陆铭，加玉鸾和黑头，共17人，但东海五人组没在，是以乘车的是12人，包了一节车厢，陆铭出钱，也是为了带上玉鸾和黑头。</p>弗雷简直就是前车之鉴，任何时候自己还是要安全第一，再轻车简从，身边基本盘的两大护法也不能少。</p>何况	专桉小组去豪斯维尔半岛，几乎就是透明公开的状态。
半岛大酒店是豪斯维尔最古老的酒店，也曾经是最享誉盛名的酒店，不过，那是百年前的事情了。</p>现在半岛大酒店在各种新型旅游酒店冲击下，早已荣光不在。</p>其五层楼的建筑物从百年前落成，到现在也没变过。</p>不过其位置还是不错的，位于海湾黄金地段，拥有最好的沙滩之一。</p>但抱残守缺，经营理念极为落后，而且酒店曾经属于人民荣耀党的一名骨干分子所有，那名骨干	分子被判处绞刑后，酒店和半岛足球俱乐部被一起出售。
半岛酒店前有一辆袖珍小汽车，上车前，韩安妮突然说“千行，你最好一个人过去”</p>陆铭一怔“什么”</p>韩安妮看着不远处的玉鸾和黑头，有些无奈的道“尹莎贝尔性子挺犟的，我怕你们吵起来，影响办桉”</p>陆铭心说我带俩侍女跟她有一分钱关系，有什么可吵的？</p>随之一怔，不会吧？</p>不过想想，在克莉丝汀确定公储身份前，自己和克莉丝汀有段时间经常约饭约玩，虽然很私密，但尹莎贝尔这个女儿可能会知道，那些不知道自己日常性和克莉丝汀约饭的外人都传流言呢，尹莎贝尔只怕真以为自己和她母亲之间有着什么，至少，可能会是一种帕	拉图的情愫。
傍晚时分，左夫来了，带来的材料也就十几页，但密密麻麻字迹，显然是他手写的，应该绞尽脑汁边想边写，很详实的材料。</p>里面记录，三名枪手，都是本地一个小制革厂的工人，平时就在工厂里，但偶尔会见到他们骑马在镇上熘达，有时在酒吧和人打架，也有点小名气。</p>他们三个打工的这个制革厂是家族企业，也是本镇为数不多的小作坊了，有几十个工人，其家族叫霍德尔	曼家族，是半岛很古老很庞大的一个家族，分支很多，小镇的霍德尔曼家族就是其中一支。
靠近皮革厂的空气中都弥漫着一种臭烘烘的味道。</p>手工皮革厂的工作繁重而且对身体有很大损害，首先是将收到的各种兽皮浸泡进行清洗，一天后，便放入有化学清洁水的坑洞里进行清理浸泡，臭烘烘的味道便来自这里，工人要站在坑洞里对兽皮进行脱毛等处理，而里面的溶液，对人类的肌肤	和毛发自然也有很大损害。</p>兽皮从清洁坑洞出来后，已经露出白色的筋皮纹络，然后再放进滚轴机器里进一步清洗，接下来晾干，最后便是用锋利的刀具进行最后的打磨除毛抛光，这一步骤的兽皮细绒毛也会被全部清理掉，而做活的工人都是肌肉虬结的壮汉，不然，也进行不了这一步骤。
酒吧里，托马斯*霍德尔曼对面，韩安妮正连珠介问题问他，他的人，额头已经冒汗。</p>有尹莎贝尔的扈从在旁认真记录。</p>陆铭在吧台后，从这个角度，托马斯看不到他。</p>听着韩安妮问的问题，陆铭点点头，小妮子越来越长进了，审讯技巧大有进步。</p>看了眼对面有些惴惴不安的赫蒂，陆铭低声说“放心吧，没事的”</p>	方才，赫蒂说起，西蒙斯经常在这里喝醉酒，也和她聊过许多许多，而西蒙斯说的最多的就是托马斯*霍德尔曼给了他太多太多恩惠，她一直就很奇怪，不过是在皮革厂做工人，开着和别人一样的工资，也没见他攒下什么钱，托马斯给了他很多恩惠从何谈起？</p>而当听闻西蒙斯几个人刺杀了豪斯堡公爵，她想起曾经和托马斯聊的天，更感觉很奇怪。
豪斯维尔半岛酒店本来已经过气，但最近客人突然多了起来。</p>在一间豪华套房的书房，陆铭正接过对面一名鹰钩鼻老者郑重递过来的聘书。</p>“千行顾问，以后还少不了要麻烦你！哈哈，到时还请你不吝赐教啊”老者笑呵呵的，态度很友善，他是本次调查组的组长，联邦特别调查局局长助理、紧急	事务部部长巴斯，给陆铭颁发的是聘请陆铭为联邦特调局技术特别顾问专家、法律特别顾问专家的证书，年薪1万元，聘任期五年，合同到期双方都无异议，会自动续约五年，那是绝对的超高薪水了，尤其是，这是兼职工作，一年也不见得用不用得到。
镇江省是江南五省最南边的省份，经济比其余四省都发达一些，社会风气及开化程度等等，更偏向南部州省。</p>加之前任总督比较开明，在镇江省推动议会制，省里有参议院，各市有议会，不过，省里的参议院也好，市里的议员也罢，都是	任命制，多是乡绅担任。</p>前总督在政治上开明，但生活奢靡，比如在省城中心位置早就修了一个私人机场。
一身黑色学生装，陆铭打量着镜子里的自己，很满意的点点头。</p>旁侧，手捧类似黑色公文包的书包的，是巧笑嫣然的琉璃。</p>早晨七点，陆铭正准备出发去上学，今天开学第一课。</p>不过，眼角余光瞥到客厅里进出的侍女们，陆铭有些无奈，家里的侍女们，好像应景开学季一般，	全部穿上了学生制服裙，都是琉璃的主意，黑头和玉鸾是琉璃的建议，其余八名青娥就是琉璃的命令了。
“千行，最近辛苦了”</p>古朴的茶室里，对面说话的是满脸微笑的王谦德，也就是江宁三司之一的民政司司长。</p>总督是大皇帝代表，三司之一的民政司司长，则是行政长官之首，从某种角度，类似前世的一省之长，不过财权和	司法权独立，所以又有其余二司，也就是财政司和律政司。</p>王谦德是警探出身，现今可能还有一颗探员的心，最喜欢看侦探小说，也很关注帝国各地的警讯动态。
师范路9号和10号，就是陆铭买下来的两个打通的小门市，现今一层是个小商店，也可以说是杂货铺，从柴米油盐到学生用品、连环画等等都有。</p>商店进门后，左右和前方都是玻璃柜	台，柜台里各种商品，柜台后的货架上也摆着杂乱货物。</p>两名蓝袄黑裤布鞋的女店员，青娥二十一和二十二，是两个五大三粗的女汉子类型。
中午还在师范学校前喝羊汤，晚上的时候，陆铭就到了黑山。</p>新任黑山矿业主管突然叫停了陆氏矿业收购龙岗临县金康县	几处铁矿的谈判。</p>其实，陆铭对金康县的铁矿也不怎么感兴趣，因为多数都是贫铁矿。</p>而且曹氏矿业很有眼光，金康县的几处富铁矿，虽然年产量很少，但都在曹氏矿业旗下。</p>曹氏矿业虽然还没更名，但陆铭已经是占股百分之七十的大股东。
黑山旅旅部是地堡式建筑，在铁盘山山麓，百年前的建筑扩展。</p>不过，前警备团占用这处军事基地期间，地堡旁盖了一栋很醒目的豪华办公楼，两个月前，该办公楼被推倒，或许，也代表着一个新时代的开始。</p>督察处占了地堡二层的东区，内部环境还是很舒适的。</p>陆铭这两天参加了几次军事会议，	对军事是门外汉，所以大多数时候就是听。
文章正在审核中，	请稍后重试。
文章正在审核中	，请稍后重试。
文章正在审核中	，请稍后重试。
文章正在审核中，	请稍后重试。
翠绿松柏排排列列，绿荫中，有阵阵的朗诵声。</p>还有几分钟才下最后一堂课，陆铭在校园里随意的熘达着，来到了雪若班级教室旁。</p>从后门看着雪若和其他小学生一样，背着手认真听课的样子，陆铭不禁微微一笑。</p>其实自己还是有一颗学生心的，前世还没毕业好像成了一种枷锁，一种遗憾，令自己总感觉自己还缺点什么，还	应该是个学生。
大和烟馆很快又开业了，不过更名为福来烟馆，主人换成了庞黑子。烟馆大堂往左，是福寿区，也就是吸大烟的厅堂及各种包间，大堂往右，则是赌场。吸得美美的去赌两手，或者赌得美美	的去嚼两口烟泡，是很多人的常态，哪怕一些苦哈哈，穷的要卖儿卖女了，但有点钱，也会送来这里。在赌场大厅，陆铭随意的扔着筹码，琢磨着，在南平如果全面禁福寿膏，什么时候才是合适的时机。
“妈妈，妈妈”突然一个布衫褴褛的小男孩哭着出现在村口“我要妈妈”小男孩哭泣着，彷徨无助。孤零零的身影，好似全世界就剩下了他一个。本来正要坐上大小果二九大杠后座的陆铭站住脚步。苗红梅的武装工作队员都是粗犷男子，苗红梅性格也差不多，显然对这个小男孩没什么办法。一名队员走过去呼喝小男孩让他别	哭，拉着他手往村里走。
“先生，我夫妇诚惶诚恐，莫再这样称呼我两个小仆”</p>榻榻米上，跪坐的足利义满深深鞠躬。</p>在这官邸三层，有三百多平米的一个组合套房完全被装饰成了东瀛风格。</p>足利义满旁侧，是绘里香的母亲足利洋子，一名端庄典雅的东瀛美妇，乌黑美髻一直是伏地感恩的状态。</p>足利绘里香跪坐在陆铭身侧，她现今极度	的开心，父母的举动，在她眼里也很正常，她又何尝不想跪在这个男人面前，便是跪上几天几夜也心甘情愿，只是现在她的身份反而是张家人，是以，跟父母一起伏地谢恩后，便要坐在了这边，不能一直陪着他们表达感激之情。
灵魂契约，契合灵魂，只要自己不解除，哪怕对方手段通天，都无法化解。就好像不死帝君小黄鸡，之前只是神王，他是帝君，同样没办法解决这种约定。为了防止这家伙变卦，出现反噬的现象，名师大陆就曾专门定下，即便对方可以脱离天道之册，也无法挣脱灵魂间的约定啊“灵魂契约，的确无法从识海中分裂出去，但我融合了连天道都可以化解的特殊气体，将这种契约化解掉，并不难…只	要有足够力量，轰击契约所在之处，就能做到”狠人道。
